,num_list,iter,CNI,bps/Hz,bps,user,bps/man
0,"[[0, 3, 6], [1, 4, 7], [2, 5]]",13,16.209324878329685,4.0,331673905.830902,304677.0,1088.6082829714812
1,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,18.84963957482432,4.0,308183659.44909096,304677.0,1011.5094327733664
2,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,16.8097086928699,4.0,314826511.3629051,304677.0,1033.3123647761568
3,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,17.89814171941266,4.0,308333878.9292989,304677.0,1012.0024778020621
4,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,16.86356971918345,4.0,321151358.043981,304677.0,1054.0715513280654
5,"[[0, 3, 6], [1, 4, 7], [2, 5]]",6,17.168656846569693,4.0,298327663.6078541,304677.0,979.1604341904841
6,"[[0, 3, 6], [1, 4, 7], [2, 5]]",90,17.189721169365814,4.0,330857062.92902076,304677.0,1085.9272702863057
7,"[[0, 3, 6], [1, 4, 7], [2, 5]]",25,19.569261742121867,4.5,338385986.0185536,304677.0,1110.6384335494756
8,"[[0, 3, 6], [1, 4, 7], [2, 5]]",30,17.069587801653796,4.0,300548129.48820406,304677.0,986.448368233257
9,"[[0, 3, 6], [1, 4, 7], [2, 5]]",72,17.02228325411353,4.0,290001261.98174524,304677.0,951.8318152723876
10,"[[0, 3, 6], [1, 4, 7], [2, 5]]",26,16.61599694745437,4.0,326624455.0412085,304677.0,1072.0351553980395
11,"[[0, 3, 6], [1, 4, 7], [2, 5]]",11,15.501824335776227,3.5,306069642.954016,304677.0,1004.570883112332
12,"[[0, 3, 6], [1, 4, 7], [2, 5]]",71,27.955245658502395,4.5,351774654.1287595,304677.0,1154.5822432568245
13,"[[0, 3, 6], [1, 4, 7], [2, 5]]",39,17.011338373573903,4.0,342007962.65756994,304677.0,1122.5263562972261
14,"[[0, 3, 6], [1, 4, 7], [2, 5]]",50,16.560249270666677,4.0,340421476.13555896,304677.0,1117.3192467286963
15,"[[0, 3, 6], [1, 4, 7], [2, 5]]",56,23.592837342097322,4.5,374966832.904587,304677.0,1230.7027865726227
16,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,15.933643354636853,4.0,338138072.54203403,304677.0,1109.8247407649217
17,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,18.53447927002611,4.0,290426120.56726635,304677.0,953.2262709927771
18,"[[0, 3, 6], [1, 4, 7], [2, 5]]",2,16.311805102657047,4.0,328632132.29428524,304677.0,1078.6246821856762
19,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,18.654262600495827,4.0,254513898.53858855,304677.0,835.3564546670361
20,"[[0, 3, 6], [1, 4, 7], [2, 5]]",0,16.177481197866264,4.0,280130479.9494894,304677.0,919.4342859798719
