iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.000000000000001,35000000.0,16.996829160038494,4.0,297828638.9569147,977.5225532511963
,0,0,3313.0,0.20711171137984757,9050472.43759208,12.18992434016991,3.0,27151417.312776238,8195.417238990714,43.7,143.6,12,183.1924253684002,0
,0,1,6331.0,0.9647138788540561,6285724.997689313,20.14645658036293,4.5,28285762.48960191,4467.819063276245,41.8,140.7,12,183.51980796816517,1
,0,2,46657.0,0.45559518615031014,19663802.56471861,12.509912688482533,3.0,58991407.694155835,1264.3634973134972,38.5,140.7,12,183.73432244603094,2
,0,3,90560.0,0.8623041983757802,9050472.43759208,18.938930834951098,4.0,36201889.75036832,399.75584971696463,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,0.5847965554094287,6285724.997689313,16.15639735050082,4.0,25142899.990757253,515.4346041565652,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.9120796484056526,19663802.56471861,15.872583864930528,4.0,78655210.25887445,1081.2455874475834,34.5,134.4,12,183.5553370705314,2
,0,6,16424.0,0.07655906736740517,9050472.43759208,7.274477141016769,1.67,15114288.970778773,920.2562695310992,34.1,131.9,12,183.48435872681142,0
,0,7,19867.0,0.9368397540575205,6285724.997689313,19.96747139004197,4.5,28285762.48960191,1423.7561025621337,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.0,35000000.0,17.060761583395404,4.0,297451864.6509246,976.2859180408255
,1,0,3313.0,0.2071785628072143,9040026.596738186,12.197527960273522,3.0,27120079.790214557,8185.958282588155,43.720999497585666,143.601,12.009999606906568,183.1924253684002,0
,1,1,6331.0,0.9646595333366165,6225836.705728639,20.222064563033282,4.5,28016265.175778873,4425.251172923531,41.801000006633004,140.701,12.00999999653097,182.43733968745371,1
,1,2,46657.0,0.45562228658080645,19734136.697533175,12.530175001622691,3.0,59202410.092599526,1268.8859140664752,38.48100003370119,140.701,12.00999997805213,183.61249584649718,2
,1,3,90560.0,0.8622662357722034,9040026.596738186,18.95558212505466,4.0,36160106.38695274,399.294460986669,36.201000000175576,139.001,12.009999983137025,182.21523473409883,0
,1,4,48780.0,0.5848029869311784,6225836.705728639,16.38090345975671,4.0,24903346.822914556,510.5237151068995,35.78100001234617,136.701,12.009999998660364,184.24399505642793,1
,1,5,72745.0,0.9120337230119322,19734136.697533175,15.887952850361746,4.0,78936546.7901327,1085.1130220651962,34.50100000010305,134.401,12.009999987049413,182.10470377133487,2
,1,6,16424.0,0.07664680387390474,9040026.596738186,7.34168554589176,1.67,15096844.416552769,919.1941315485125,34.100999997059205,131.901,12.00999996482784,182.10488505783886,0
