iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.0,35000000.0,15.86326416655712,3.8953052618927964,363299764.01410484,1192.4095485189391
,0,0,3313.0,0.625,11666666.666666666,16.22470571768193,3.974063375882892,46364072.71863374,13994.588807314742,43.7,143.6,12,183.1924253684002,0
,0,1,6331.0,0.625,11666666.666666666,16.075803209727155,3.9416175193995473,45985537.72632805,7263.550422733858,41.8,140.7,12,183.51980796816517,1
,0,2,46657.0,0.625,11666666.666666666,16.055567195066143,3.9372080918049126,45934094.40439065,984.5059563278961,38.5,140.7,12,183.73432244603094,2
,0,3,90560.0,0.625,11666666.666666666,15.27391783823212,3.766886696950779,43947011.46442575,485.28060362660943,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,0.625,11666666.666666666,15.333719564232243,3.779917493046206,44099037.4188724,904.039307479959,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.625,11666666.666666666,16.041959107357815,3.934242889493268,45899500.37742146,630.9643326334657,34.5,134.4,12,183.5553370705314,2
,0,6,16424.0,0.625,11666666.666666666,15.755721500997202,3.8718717150672903,45171836.67578505,2750.3553748042527,34.1,131.9,12,183.48435872681142,0
,0,7,19867.0,0.625,11666666.666666666,16.041633735624902,3.9341719909926662,45898673.22824777,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.0,35000000.0,15.86326416655712,3.8953052618927964,363299764.01410484,1192.4095485189391
,1,0,3313.0,0.6249999999999997,11666666.666666666,16.22470571768192,3.9740633758828907,46364072.718633726,13994.588807314738,43.7,143.6,12,183.1924253684002,0
,1,1,6331.0,0.6249999999999996,11666666.666666666,16.07580320972715,3.9416175193995464,45985537.72632804,7263.550422733855,41.8,140.7,12,183.51980796816517,1
,1,2,46657.0,0.6249999999999996,11666666.666666666,16.05556719506614,3.9372080918049117,45934094.40439063,984.5059563278958,38.5,140.7,12,183.73432244603094,2
,1,3,90560.0,0.6250000000000009,11666666.666666666,15.273917838232125,3.76688669695078,43947011.464425765,485.2806036266096,36.2,139.0,12,183.8146724662094,0
,1,4,48780.0,0.6250000000000007,11666666.666666666,15.33371956423225,3.7799174930462076,44099037.41887242,904.0393074799595,35.8,136.7,12,183.23946611880635,1
,1,5,72745.0,0.6249999999999996,11666666.666666666,16.041959107357815,3.934242889493268,45899500.37742146,630.9643326334657,34.5,134.4,12,183.5553370705314,2
,1,6,16424.0,0.625,11666666.666666666,15.7557215009972,3.87187171506729,45171836.67578505,2750.3553748042527,34.1,131.9,12,183.48435872681142,0
,1,7,19867.0,0.6249999999999997,11666666.666666666,16.0416337356249,3.9341719909926653,45898673.22824776,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,304677.0,5.000000000000001,35000000.0,15.86326416655712,3.8953052618927964,363299764.01410484,1192.4095485189391
,2,0,3313.0,0.6249999999999989,11666666.666666666,16.224705717681914,3.974063375882889,46364072.718633704,13994.58880731473,43.7,143.6,12,183.1924253684002,0
,2,1,6331.0,0.6249999999999992,11666666.666666666,16.075803209727148,3.9416175193995455,45985537.72632803,7263.550422733854,41.8,140.7,12,183.51980796816517,1
,2,2,46657.0,0.6249999999999988,11666666.666666666,16.055567195066132,3.9372080918049104,45934094.40439062,984.5059563278954,38.5,140.7,12,183.73432244603094,2
,2,3,90560.0,0.6250000000000019,11666666.666666666,15.273917838232132,3.7668866969507815,43947011.46442578,485.2806036266098,36.2,139.0,12,183.8146724662094,0
,2,4,48780.0,0.6250000000000021,11666666.666666666,15.333719564232261,3.77991749304621,44099037.418872446,904.0393074799599,35.8,136.7,12,183.23946611880635,1
,2,5,72745.0,0.6249999999999997,11666666.666666666,16.041959107357815,3.934242889493268,45899500.37742146,630.9643326334657,34.5,134.4,12,183.5553370705314,2
,2,6,16424.0,0.6250000000000003,11666666.666666666,15.755721500997202,3.8718717150672903,45171836.67578505,2750.3553748042527,34.1,131.9,12,183.48435872681142,0
,2,7,19867.0,0.6249999999999998,11666666.666666666,16.0416337356249,3.9341719909926653,45898673.22824776,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
