iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.0,35000000.0,3.4610216377702274,1.1928566148701325,111042390.49149865,364.45937990560054
,0,0,3313.0,0.625,11666666.666666666,3.8547656186509984,1.2786534283040525,14917623.330213945,4502.75379722727,43.7,143.6,12,2138.6004946779235,0
,0,1,6331.0,0.625,11666666.666666666,3.6803256441647605,1.2406429578635012,14474167.841740847,2286.2372203034033,41.8,140.7,12,1792.8453198556767,1
,0,2,46657.0,0.625,11666666.666666666,3.8069959825688153,1.268244424601745,14796184.953687025,317.1267967011815,38.5,140.7,12,1545.6507623689986,2
,0,3,90560.0,0.625,11666666.666666666,3.1856939021863284,1.132862701286401,13216731.51500801,145.94447344310964,36.2,139.0,12,1537.1990071524965,0
,0,4,48780.0,0.625,11666666.666666666,2.9098809280852738,1.0727630542297812,12515568.966014113,256.57172952058454,35.8,136.7,12,1503.7221120475983,1
,0,5,72745.0,0.625,11666666.666666666,3.750033582861853,1.2558323177055977,14651377.03989864,201.40734125917436,34.5,134.4,12,1758.1349421017662,2
,0,6,16424.0,0.625,11666666.666666666,3.386698940798545,1.176661699200003,13727719.824000034,835.8329167072598,34.1,131.9,12,1958.8200354156932,0
,0,7,19867.0,0.625,11666666.666666666,2.9993510867118762,1.092258601794518,12743017.020936042,641.4162692372297,31.9,130.2,12,2246.5372250267433,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.0,35000000.0,3.461021637770227,1.1928566148701325,111042390.49149863,364.4593799056005
,1,0,3313.0,0.6249999999999994,11666666.666666666,3.8547656186509927,1.2786534283040512,14917623.330213929,4502.753797227265,43.7,143.6,12,2138.6004946779235,0
,1,1,6331.0,0.6249999999999998,11666666.666666666,3.680325644164757,1.2406429578635005,14474167.84174084,2286.237220303402,41.8,140.7,12,1792.8453198556767,1
,1,2,46657.0,0.6249999999999997,11666666.666666666,3.8069959825688136,1.2682444246017446,14796184.95368702,317.1267967011814,38.5,140.7,12,1545.6507623689986,2
,1,3,90560.0,0.6250000000000007,11666666.666666666,3.185693902186333,1.132862701286402,13216731.515008023,145.94447344310979,36.2,139.0,12,1537.1990071524965,0
,1,4,48780.0,0.625000000000001,11666666.666666666,2.9098809280852804,1.0727630542297826,12515568.96601413,256.5717295205849,35.8,136.7,12,1503.7221120475983,1
,1,5,72745.0,0.6249999999999997,11666666.666666666,3.7500335828618514,1.2558323177055974,14651377.039898636,201.40734125917433,34.5,134.4,12,1758.1349421017662,2
,1,6,16424.0,0.625,11666666.666666666,3.386698940798544,1.1766616992000027,13727719.82400003,835.8329167072595,34.1,131.9,12,1958.8200354156932,0
,1,7,19867.0,0.6249999999999998,11666666.666666666,2.9993510867118722,1.092258601794517,12743017.02093603,641.4162692372291,31.9,130.2,12,2246.5372250267433,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,304677.0,5.0,35000000.0,3.461021637770227,1.1928566148701325,111042390.49149863,364.4593799056005
,2,0,3313.0,0.6249999999999987,11666666.666666666,3.854765618650987,1.27865342830405,14917623.330213916,4502.753797227261,43.7,143.6,12,2138.6004946779235,0
,2,1,6331.0,0.6249999999999996,11666666.666666666,3.680325644164755,1.2406429578635003,14474167.841740835,2286.2372203034015,41.8,140.7,12,1792.8453198556767,1
,2,2,46657.0,0.6249999999999996,11666666.666666666,3.806995982568813,1.2682444246017444,14796184.953687016,317.1267967011813,38.5,140.7,12,1545.6507623689986,2
,2,3,90560.0,0.6250000000000013,11666666.666666666,3.1856939021863395,1.1328627012864034,13216731.51500804,145.94447344310998,36.2,139.0,12,1537.1990071524965,0
,2,4,48780.0,0.6250000000000018,11666666.666666666,2.9098809280852853,1.0727630542297837,12515568.966014143,256.57172952058517,35.8,136.7,12,1503.7221120475983,1
,2,5,72745.0,0.6249999999999997,11666666.666666666,3.7500335828618514,1.2558323177055974,14651377.039898636,201.40734125917433,34.5,134.4,12,1758.1349421017662,2
,2,6,16424.0,0.6250000000000002,11666666.666666666,3.386698940798545,1.176661699200003,13727719.824000034,835.8329167072598,34.1,131.9,12,1958.8200354156932,0
,2,7,19867.0,0.6249999999999994,11666666.666666666,2.9993510867118696,1.0922586017945164,12743017.020936023,641.4162692372288,31.9,130.2,12,2246.5372250267433,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
3,,,304677.0,5.0,35000000.0,3.4610216377702256,1.192856614870132,111042390.49149863,364.4593799056005
,3,0,3313.0,0.6249999999999978,11666666.666666666,3.8547656186509798,1.2786534283040485,14917623.330213899,4502.753797227256,43.7,143.6,12,2138.6004946779235,0
,3,1,6331.0,0.6249999999999998,11666666.666666666,3.680325644164757,1.2406429578635005,14474167.84174084,2286.237220303402,41.8,140.7,12,1792.8453198556767,1
,3,2,46657.0,0.6249999999999993,11666666.666666666,3.8069959825688127,1.2682444246017441,14796184.953687014,317.12679670118126,38.5,140.7,12,1545.6507623689986,2
,3,3,90560.0,0.6250000000000021,11666666.666666666,3.185693902186345,1.1328627012864045,13216731.515008053,145.94447344311013,36.2,139.0,12,1537.1990071524965,0
,3,4,48780.0,0.6250000000000021,11666666.666666666,2.9098809280852893,1.0727630542297846,12515568.966014152,256.57172952058534,35.8,136.7,12,1503.7221120475983,1
,3,5,72745.0,0.6249999999999996,11666666.666666666,3.7500335828618514,1.2558323177055974,14651377.039898636,201.40734125917433,34.5,134.4,12,1758.1349421017662,2
,3,6,16424.0,0.6250000000000002,11666666.666666666,3.386698940798543,1.1766616992000025,13727719.824000029,835.8329167072594,34.1,131.9,12,1958.8200354156932,0
,3,7,19867.0,0.6249999999999989,11666666.666666666,2.9993510867118656,1.0922586017945155,12743017.020936014,641.4162692372282,31.9,130.2,12,2246.5372250267433,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
4,,,304677.0,5.0,35000000.0,3.4610216377702256,1.192856614870132,111042390.49149863,364.4593799056005
,4,0,3313.0,0.6249999999999971,11666666.666666666,3.8547656186509767,1.2786534283040478,14917623.330213891,4502.753797227254,43.7,143.6,12,2138.6004946779235,0
,4,1,6331.0,0.6250000000000002,11666666.666666666,3.6803256441647605,1.2406429578635012,14474167.841740847,2286.2372203034033,41.8,140.7,12,1792.8453198556767,1
,4,2,46657.0,0.6249999999999992,11666666.666666666,3.806995982568811,1.268244424601744,14796184.953687012,317.1267967011812,38.5,140.7,12,1545.6507623689986,2
,4,3,90560.0,0.6250000000000027,11666666.666666666,3.185693902186348,1.1328627012864052,13216731.51500806,145.9444734431102,36.2,139.0,12,1537.1990071524965,0
,4,4,48780.0,0.6250000000000021,11666666.666666666,2.9098809280852893,1.0727630542297846,12515568.966014152,256.57172952058534,35.8,136.7,12,1503.7221120475983,1
,4,5,72745.0,0.6249999999999997,11666666.666666666,3.7500335828618514,1.2558323177055974,14651377.039898636,201.40734125917433,34.5,134.4,12,1758.1349421017662,2
,4,6,16424.0,0.6250000000000002,11666666.666666666,3.386698940798543,1.1766616992000025,13727719.824000029,835.8329167072594,34.1,131.9,12,1958.8200354156932,0
,4,7,19867.0,0.6249999999999989,11666666.666666666,2.9993510867118656,1.0922586017945155,12743017.020936014,641.4162692372282,31.9,130.2,12,2246.5372250267433,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
5,,,304677.0,5.000000000000001,35000000.0,3.4610216377702256,1.192856614870132,111042390.49149865,364.45937990560054
,5,0,3313.0,0.624999999999997,11666666.666666666,3.8547656186509762,1.2786534283040476,14917623.330213888,4502.753797227252,43.7,143.6,12,2138.6004946779235,0
,5,1,6331.0,0.6250000000000003,11666666.666666666,3.6803256441647605,1.2406429578635012,14474167.841740847,2286.2372203034033,41.8,140.7,12,1792.8453198556767,1
,5,2,46657.0,0.6249999999999991,11666666.666666666,3.806995982568811,1.268244424601744,14796184.953687012,317.1267967011812,38.5,140.7,12,1545.6507623689986,2
,5,3,90560.0,0.6250000000000029,11666666.666666666,3.1856939021863493,1.1328627012864056,13216731.515008066,145.94447344311027,36.2,139.0,12,1537.1990071524965,0
,5,4,48780.0,0.6250000000000026,11666666.666666666,2.9098809280852906,1.0727630542297848,12515568.966014156,256.5717295205854,35.8,136.7,12,1503.7221120475983,1
,5,5,72745.0,0.6249999999999994,11666666.666666666,3.750033582861849,1.255832317705597,14651377.03989863,201.40734125917425,34.5,134.4,12,1758.1349421017662,2
,5,6,16424.0,0.6250000000000002,11666666.666666666,3.386698940798542,1.1766616992000023,13727719.824000025,835.8329167072592,34.1,131.9,12,1958.8200354156932,0
,5,7,19867.0,0.6249999999999991,11666666.666666666,2.999351086711867,1.0922586017945157,12743017.020936016,641.4162692372283,31.9,130.2,12,2246.5372250267433,1

