iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user
0,,,2076192,4.995084002,35000000,3.637981701,1.2,1876603322,903.8679091
1,,,2076192,4.993278262,35000000,3.645413869,1.2,1876855384,903.989315
2,,,2076192,4.99261456,35000000,3.648047077,1.2,1876940717,904.0304156
3,,,2076192,4.99237058,35000000,3.64366068,1.2,1876979721,904.0492021
4,,,2076192,4.992281236,35000000,3.644490459,1.2,1876931404,904.0259301
5,,,2076192,4.992248232,35000000,3.645196438,1.2,1876852211,903.9877868
6,,,2076192,4.992235789,35000000,3.641648193,1.2,1876714069,903.9212504
7,,,2076192,4.992230862,35000000,3.639192082,1.2,1876566406,903.8501285
8,,,2076192,4.992229131,35000000,3.637531766,1.2,1876428626,903.7837667
9,,,2076192,4.992228483,35000000,3.637085763,1.2,1876304960,903.7242026
10,,,2076192,4.99222825,35000000,3.63586522,1.2,1876196007,903.6717256
11,,,2076192,4.992228034,35000000,3.635264399,1.2,1876100961,903.6259467
12,,,2076192,4.992227696,35000000,3.631046447,1.2,1876018869,903.5864065
13,,,2076192,4.992227796,35000000,3.627267327,1.2,1875948734,903.552626
14,,,2076192,4.992228428,35000000,3.6231358,1.2,1875889601,903.5241447
15,,,2076192,4.992229436,35000000,3.623402071,1.2,1875840759,903.5006199
16,,,2076192,4.992230682,35000000,3.624250588,1.2,1875801735,903.481824
17,,,2076192,4.992232203,35000000,3.623359679,1.2,1875779942,903.4713275
18,,,2076192,4.992233816,35000000,3.625879986,1.2,1875769848,903.4664656
19,,,2076192,4.992235676,35000000,3.621858822,1.2,1875768608,903.4658683
20,,,2076192,4.992238014,35000000,3.623763586,1.2,1875782576,903.4725962
21,,,2076192,4.992240202,35000000,3.625602121,1.2,1875817341,903.4893408
22,,,2076192,4.992241997,35000000,3.627904754,1.2,1875860000,903.5098874
23,,,2076192,4.992243639,35000000,3.627744176,1.2,1875904140,903.5311476
24,,,2076192,4.992245197,35000000,3.623981166,1.2,1875947028,903.5518046
25,,,2076192,4.9922464,35000000,3.623463793,1.2,1875987940,903.5715097
26,,,2076192,4.992247344,35000000,3.619835507,1.2,1875999817,903.5772302
27,,,2076192,4.992248809,35000000,3.615284935,1.2,1875990275,903.5726343
28,,,2076192,4.99225041,35000000,3.609510375,1.2,1875953532,903.554937
29,,,2076192,4.992252765,35000000,3.608386046,1.2,1879400165,905.2150114
30,,,2076192,4.9922551,35000000,3.604754777,1.2,1879380612,905.2055939
31,,,2076192,4.99225771,35000000,3.602414817,1.2,1879382528,905.2065166
32,,,2076192,4.992260731,35000000,3.598453331,1.2,1879409329,905.2194251
33,,,2076192,4.992263838,35000000,3.598189154,1.2,1879408175,905.2188695
34,,,2076192,4.992267056,35000000,3.597387384,1.2,1879382928,905.2067092
35,,,2076192,4.992270038,35000000,3.595850647,1.2,1879355292,905.1933985
36,,,2076192,4.992272873,35000000,3.596308536,1.2,1879335078,905.183662
37,,,2076192,4.992275833,35000000,3.59543257,1.2,1876924910,904.0228023
38,,,2076192,4.992278681,35000000,3.593208333,1.2,1876854725,903.9889978
39,,,2076192,4.9922813,35000000,3.596467213,1.2,1880318540,905.6573475
40,,,2076192,4.992283638,35000000,3.593227381,1.2,1880301386,905.6490854
41,,,2076192,4.992285907,35000000,3.588820028,1.2,1880328464,905.6621274
42,,,2076192,4.992288917,35000000,3.583624068,1.2,1880381218,905.6875365
43,,,2076192,4.992292509,35000000,3.576748807,1.2,1880477988,905.7341459
44,,,2076192,4.992297442,35000000,3.57350195,1.2,1880632375,905.8085068
45,,,2076192,4.992302504,35000000,3.571918593,1.2,1880810487,905.8942943
46,,,2076192,4.992308127,35000000,3.564327489,1.2,1880994174,905.9827677
47,,,2076192,4.992313737,35000000,3.559818431,1.2,1881173878,906.069322
48,,,2076192,4.992319659,35000000,3.557831528,1.2,1881370707,906.164125
49,,,2076192,4.992325684,35000000,3.555686668,1.2,1881566486,906.258422
50,,,2076192,4.992331781,35000000,3.551478729,1.2,1881752751,906.3481371
51,,,2076192,4.992337726,35000000,3.547637706,1.2,1881924503,906.4308616
52,,,2076192,4.992344201,35000000,3.545626663,1.2,1882113859,906.5220649
53,,,2076192,4.992350826,35000000,3.541697397,1.2,1885733196,908.2653225
54,,,2076192,4.992357243,35000000,3.536619248,1.2,1883521745,907.2001746
55,,,2076192,4.992363202,35000000,3.535602904,1.2,1883680128,907.2764599
56,,,2076192,4.992368801,35000000,3.532021395,1.2,1883824616,907.346053
57,,,2076192,4.992374829,35000000,3.528972455,1.2,1883954946,907.4088263
