iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
,3,0,99,0.037313088,11726495.28,4.15066116,1.2,14071794.33,142139.3367,29.94567162,130.404,39.96810881,56.01802376,0
,3,1,45,0.037313731,11723778.56,4.050568197,1.2,14068534.28,312634.0951,30.00401469,131.204,40.03994344,54.62751238,1
,3,2,167,0.037313482,11723778.56,3.816991934,1.2,14068534.28,84242.72023,30.78857421,130.004,39.97581031,55.84341085,1
,3,3,792,0.037313376,11549726.16,4.201609525,1.2,13859671.39,17499.58509,30.80409898,130.804,39.96001502,52.03540692,2
,3,4,123,0.037313643,11726495.28,3.815672223,1.2,14071794.33,114404.832,30.87849363,131.604,39.96954029,55.15731127,0
,3,5,18464,0.03731349,11726495.28,3.495437657,1.2,14071794.33,762.1205768,31.60365546,130.404,40.03824181,54.79121503,0
,3,6,12064,0.037313772,11723778.56,3.422550761,1.2,14068534.28,1166.158345,31.66811836,131.204,40.01239987,54.2731714,1
,3,7,424,0.037313366,11549726.16,3.77053962,1.2,13859671.39,32687.90423,31.60494966,132.004,40.03636245,54.05837935,2
,3,8,287,0.037313383,11726495.28,4.01234222,1.2,14071794.33,49030.64227,32.36528114,129.204,39.9682387,52.45271031,0
,3,9,9157,0.037313174,11723778.56,3.521586052,1.2,14068534.28,1536.369365,32.33196405,130.004,40.03684863,53.259783,1
,3,10,15629,0.037313419,11549726.16,3.584690319,1.2,13859671.39,886.7919503,32.41492267,130.804,39.97764109,56.0621975,2
,3,11,8294,0.037313554,11726495.28,3.354483257,1.2,14071794.33,1696.623382,32.40419498,131.604,40.03981955,54.9676635,0
,3,12,37,0.037314,11723778.56,3.534903269,1.2,14068534.28,380230.6562,32.46257468,132.404,40.02622218,54.33588307,1
,3,13,103,0.037313739,11549726.16,3.66693608,1.2,13859671.39,134559.9164,32.45829891,133.204,40.02440375,53.07906984,2
,3,14,3,0.037313183,11723778.56,4.484515731,1.2,14068534.28,4689511.426,32.35631299,139.604,39.97285904,46.433835,1
,3,15,452,0.037313378,11723778.56,4.063159778,1.2,14068534.28,31125.07584,33.20354111,128.804,40.02495015,55.14573862,1
,3,16,14650,0.037313449,11549726.16,4.134498882,1.2,13859671.39,946.0526547,33.20277303,129.604,40.01094481,54.89102007,2
,3,17,55964,0.037312952,11726495.28,3.545145616,1.2,14071794.33,251.443684,33.15178469,130.404,39.96955448,52.88106784,0
,3,18,13149,0.037313437,11723778.56,3.104950805,1.2,14068534.28,1069.931879,33.19197535,131.204,40.03933325,55.46670127,1
,3,19,8954,0.037313813,11549726.16,3.352990807,1.2,13859671.39,1547.874848,33.23198177,132.004,40.00240739,54.43784343,2
,3,20,3873,0.037313498,11726495.28,3.692610073,1.2,14071794.33,3633.30605,33.20401069,132.804,40.03534419,50.75068118,0
,3,21,4957,0.037313417,11723778.56,3.567073773,1.2,14068534.28,2838.114641,33.20394976,133.604,40.03486922,53.66788141,1
,3,22,376,0.03731332,11549726.16,3.780266449,1.2,13859671.39,36860.82817,33.24692217,134.404,39.97193143,56.45243153,2
,3,23,327,0.037313506,11726495.28,3.746436656,1.2,14071794.33,43033.01018,33.18799421,135.204,40.0158278,55.27762095,0
,3,24,455,0.037312985,11723778.56,3.776290368,1.2,14068534.28,30919.85556,33.16096205,136.004,39.98510075,53.08041618,1
,3,25,59,0.037313361,11549726.16,4.412520663,1.2,13859671.39,234909.6846,33.20405901,139.204,40.03537474,53.6297586,2
,3,26,59,0.037313463,11726495.28,4.200407143,1.2,14071794.33,238504.9887,33.22306078,140.004,40.01006272,51.82490902,0
,3,27,683,0.037313512,11726495.28,4.217089285,1.2,14071794.33,20602.91996,33.93337457,129.204,40.01740359,52.1119189,0
,3,28,12156,0.037313329,11723778.56,3.636284783,1.2,14068534.28,1157.332534,33.94046462,130.004,40.03738082,53.34912006,1
,3,29,45914,0.037313446,11549726.16,3.567733768,1.2,13859671.39,301.861554,33.97727424,130.804,40.00227061,54.66674646,2
,3,30,11801,0.037313282,11726495.28,3.576917821,1.2,14071794.33,1192.42389,33.95671347,131.604,39.9926872,52.37452793,0
,3,31,30125,0.037314062,11723778.56,3.118976397,1.2,14068534.28,467.0052872,34.06698622,132.404,39.97185762,56.1327387,1
,3,32,21617,0.037313605,11549726.16,3.40918747,1.2,13859671.39,641.146847,34.01026988,133.204,40.00326866,55.22344427,2
,3,33,19591,0.037312871,11726495.28,3.669302068,1.2,14071794.33,718.2785121,33.96157746,134.004,39.992499,45.51919536,0
,3,34,14052,0.037313578,11723778.56,3.503084679,1.2,14068534.28,1001.176649,33.94610179,134.804,40.01466809,52.8128821,1
,3,35,20186,0.037313645,11549726.16,3.650587242,1.2,13859671.39,686.5982063,34.01518364,135.604,40.02376336,54.86967739,2
,3,36,1775,0.037313413,11726495.28,3.412219498,1.2,14071794.33,7927.771454,33.99443262,136.404,40.01103958,55.72850876,0
,3,37,256,0.03731346,11723778.56,3.369946933,1.2,14068534.28,54955.21202,34.03545405,137.204,40.02782686,54.85279552,1
,3,38,29,0.03731342,11726495.28,3.743224607,1.2,14071794.33,485234.2873,33.93498601,138.804,40.03835918,53.46216937,0
,3,39,72,0.037313086,11723778.56,3.811249704,1.2,14068534.28,195396.3094,33.99542866,139.604,40.02378677,54.5663026,1
,3,40,570,0.037313436,11723778.56,3.529479654,1.2,14068534.28,24681.63908,34.75565263,131.204,39.99083573,55.88612909,1
,3,41,3276,0.037313442,11549726.16,3.584798527,1.2,13859671.39,4230.668923,34.8020712,132.004,39.96229636,55.24582342,2
,3,42,17631,0.037313536,11726495.28,3.47128337,1.2,14071794.33,798.1279752,34.75814154,132.804,40.01890682,54.55680745,0
,3,43,28784,0.037313434,11723778.56,3.313729521,1.2,14068534.28,488.7623082,34.83068539,133.604,40.00710213,53.76704212,1
,3,44,26180,0.037313529,11549726.16,3.405734712,1.2,13859671.39,529.3992128,34.79993248,134.404,40.03636329,55.25577683,2
