iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.0,35000000.0,15.86326416655712,4.0,355833333.3333333,1167.9034956144812
,0,0,3313.0,0.625,11666666.666666666,16.22470571768193,4.0,46666666.666666664,14085.924137237145,43.7,143.6,12,183.1924253684002,0
,0,1,6331.0,0.625,11666666.666666666,16.075803209727155,4.0,46666666.666666664,7371.136734586426,41.8,140.7,12,183.51980796816517,1
,0,2,46657.0,0.625,11666666.666666666,16.055567195066143,4.0,46666666.666666664,1000.207185774196,38.5,140.7,12,183.73432244603094,2
,0,3,90560.0,0.625,11666666.666666666,15.27391783823212,3.5,40833333.33333333,450.8981154299175,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,0.625,11666666.666666666,15.333719564232243,3.5,40833333.33333333,837.0917042503758,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.625,11666666.666666666,16.041959107357815,4.0,46666666.666666664,641.5102985313996,34.5,134.4,12,183.5553370705314,2
,0,6,16424.0,0.625,11666666.666666666,15.755721500997202,3.5,40833333.33333333,2486.199058288683,34.1,131.9,12,183.48435872681142,0
,0,7,19867.0,0.625,11666666.666666666,16.041633735624902,4.0,46666666.666666664,2348.9538766128085,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.0,35000000.0,15.86326416655712,4.0,355833333.3333333,1167.9034956144812
,1,0,3313.0,0.625,11666666.666666666,16.22470571768193,4.0,46666666.666666664,14085.924137237145,43.7,143.6,12,183.1924253684002,0
,1,1,6331.0,0.625,11666666.666666666,16.075803209727155,4.0,46666666.666666664,7371.136734586426,41.8,140.7,12,183.51980796816517,1
,1,2,46657.0,0.625,11666666.666666666,16.055567195066143,4.0,46666666.666666664,1000.207185774196,38.5,140.7,12,183.73432244603094,2
,1,3,90560.0,0.625,11666666.666666666,15.27391783823212,3.5,40833333.33333333,450.8981154299175,36.2,139.0,12,183.8146724662094,0
,1,4,48780.0,0.625,11666666.666666666,15.333719564232243,3.5,40833333.33333333,837.0917042503758,35.8,136.7,12,183.23946611880635,1
,1,5,72745.0,0.625,11666666.666666666,16.041959107357815,4.0,46666666.666666664,641.5102985313996,34.5,134.4,12,183.5553370705314,2
,1,6,16424.0,0.625,11666666.666666666,15.755721500997202,3.5,40833333.33333333,2486.199058288683,34.1,131.9,12,183.48435872681142,0
,1,7,19867.0,0.625,11666666.666666666,16.041633735624902,4.0,46666666.666666664,2348.9538766128085,31.9,130.2,12,183.80015252764147,1

