iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.0,35000000.0,15.913238073817318,4.0,355833333.3333333,1167.9034956144812
,0,0,3313.0,0.625,11666666.666666666,16.230779186420946,4.0,46666666.666666664,14085.924137237145,43.68100044973219,143.601,11.990000056591567,183.93018404282563,0
,0,1,6331.0,0.625,11666666.666666666,16.119819195947592,4.0,46666666.666666664,7371.136734586426,41.82099997751128,140.701,11.990000007169241,183.51980796816517,1
,0,2,46657.0,0.625,11666666.666666666,16.114638153272796,4.0,46666666.666666664,1000.207185774196,38.500999988398526,140.701,11.990000010326737,181.9012417282508,2
,0,3,90560.0,0.625,11666666.666666666,15.316618786003065,3.5,40833333.33333333,450.8981154299175,36.20099999687422,139.001,11.990000011602518,182.21523473409883,0
,0,4,48780.0,0.625,11666666.666666666,15.454408874523025,3.5,40833333.33333333,837.0917042503758,35.80099997385364,136.701,11.990000003911678,182.25877842373214,1
,0,5,72745.0,0.625,11666666.666666666,16.094042396661674,4.0,46666666.666666664,641.5102985313996,34.501000003626,134.401,11.990000005593673,182.10470377133487,2
,0,6,16424.0,0.625,11666666.666666666,15.795974669751995,3.5,40833333.33333333,2486.199058288683,34.10100000028081,131.901,11.990000007218415,182.10488505783886,0
,0,7,19867.0,0.625,11666666.666666666,16.08652940948955,4.0,46666666.666666664,2348.9538766128085,31.881000011372087,130.201,11.990000010078427,183.6011793094362,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.0,35000000.0,15.913963095791361,4.0,355833333.3333333,1167.9034956144812
,1,0,3313.0,0.625,11666666.666666666,16.23250994540333,4.0,46666666.666666664,14085.924137237145,43.679465294787015,143.602,11.980263575960878,181.84145294462255,0
,1,1,6331.0,0.625,11666666.666666666,16.131841603790154,4.0,46666666.666666664,7371.136734586426,41.835105348434695,140.702,11.980051609568465,181.71020134714144,1
,1,2,46657.0,0.625,11666666.666666666,16.113864876834242,4.0,46666666.666666664,1000.207185774196,38.50207344565667,140.702,11.979988358359261,181.9414894176849,2
,1,3,90560.0,0.625,11666666.666666666,15.31865697693746,3.5,40833333.33333333,450.8981154299175,36.18900526634908,139.002,11.979997368891118,181.8488368990416,0
,1,4,48780.0,0.625,11666666.666666666,15.45482998547655,3.5,40833333.33333333,837.0917042503758,35.80200127194837,136.702,11.980090631995454,182.30737958226416,1
,1,5,72745.0,0.625,11666666.666666666,16.09380087366471,4.0,46666666.666666664,641.5102985313996,34.49964314906522,134.40200000000002,11.980010035066687,182.17375494632086,2
,1,6,16424.0,0.625,11666666.666666666,15.787238022210948,3.5,40833333.33333333,2486.199058288683,34.09851045873448,131.90200000000002,11.9801089368959,182.30761299232339,0
,1,7,19867.0,0.625,11666666.666666666,16.08529337261432,4.0,46666666.666666664,2348.9538766128085,31.865412902913018,130.202,11.979999747330778,183.44188702223963,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,304677.0,5.0,35000000.0,15.906105615012052,4.0,355833333.3333333,1167.9034956144812
,2,0,3313.0,0.625,11666666.666666666,16.221781990376655,4.0,46666666.666666664,14085.924137237145,43.68163403768246,143.603,11.97722803061015,182.5893881260425,0
,2,1,6331.0,0.625,11666666.666666666,16.12563637030415,4.0,46666666.666666664,7371.136734586426,41.841232058006035,140.703,11.970603351627014,182.90324353743614,1
,2,2,46657.0,0.625,11666666.666666666,16.110360931080795,4.0,46666666.666666664,1000.207185774196,38.50313008193645,140.703,11.969955614506048,182.50392819421873,2
,2,3,90560.0,0.625,11666666.666666666,15.30716621298411,3.5,40833333.33333333,450.8981154299175,36.17971272710541,139.00300000000001,11.970324552445017,182.83635105873,0
,2,4,48780.0,0.625,11666666.666666666,15.449545555768937,3.5,40833333.33333333,837.0917042503758,35.80343467871019,136.703,11.970262115166523,182.60313015850915,1
,2,5,72745.0,0.625,11666666.666666666,16.083906035748786,4.0,46666666.666666664,641.5102985313996,34.49659129335181,134.40300000000002,11.970124968710428,182.37813748333085,2
,2,6,16424.0,0.625,11666666.666666666,15.77532885918307,3.5,40833333.33333333,2486.199058288683,34.09768563986892,131.90300000000002,11.970145665337867,182.6004168102904,0
,2,7,19867.0,0.625,11666666.666666666,16.080988155030326,4.0,46666666.666666664,2348.9538766128085,31.85151808999992,130.203,11.970261618295417,183.37839240633653,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
3,,,304677.0,5.0,35000000.0,15.90853129188174,4.0,355833333.3333333,1167.9034956144812
,3,0,3313.0,0.625,11666666.666666666,16.22192719176516,4.0,46666666.666666664,14085.924137237145,43.68331932450072,143.604,11.97768579732544,182.34102143322676,0
,3,1,6331.0,0.625,11666666.666666666,16.135295142121983,4.0,46666666.666666664,7371.136734586426,41.85416573388525,140.704,11.960981631003364,182.243257584627,1
