iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,4.999999999999998,35000000.0,15.854334779634891,4.0,357037663.47021204,1171.8563051041333
,0,0,3313.0,0.6249999999989502,11871527.741804551,16.161132354976107,4.0,47486110.967218205,14333.266214071296,43.7,143.6,12,183.1924253684002,0
,0,1,6331.0,0.6249999999987935,11835165.784228113,16.023251095360237,4.0,47340663.13691245,7477.596451889504,41.8,140.7,12,183.51980796816517,1
,0,2,46657.0,0.6249999999987904,11293306.473967334,16.174451651113763,4.0,45173225.89586934,968.1982531210608,38.5,140.7,12,183.73432244603094,2
,0,3,90560.0,0.6250000000029992,11871527.741804551,15.219554374740413,3.5,41550347.09631593,458.8156702331706,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,0.6250000000025954,11835165.784228113,15.288446372185728,3.5,41423080.24479839,849.1816368347354,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.6249999999988244,11293306.473967334,16.160697095897934,4.0,45173225.89586934,620.9804920732605,34.5,134.4,12,183.5553370705314,2
,0,6,16424.0,0.6250000000001321,11871527.741804551,15.695602728362593,3.5,41550347.09631593,2529.8555221819247,34.1,131.9,12,183.48435872681142,0
,0,7,19867.0,0.624999999998914,11835165.784228113,15.989443216239518,4.0,47340663.13691245,2382.8793042186767,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.0,35000000.0,15.85204984381386,4.0,357429240.71464074,1173.1415259919218
,1,0,3313.0,0.6250000211629924,11938249.607130943,16.140628421408415,4.0,47752998.42852377,14413.823854066939,43.7,143.6,12,183.1924253684002,0
,1,1,6331.0,0.6250000217576319,11889854.826642267,16.006338878878307,4.0,47559419.30656907,7512.149629848218,41.8,140.7,12,183.51980796816517,1
,1,2,46657.0,0.6249999432288216,11171895.566226792,16.21387470691983,4.0,44687582.26490717,957.7894477764787,38.5,140.7,12,183.73432244603094,2
,1,3,90560.0,0.6250000141087194,11938249.607130943,15.202009967875583,3.5,41783873.6249583,461.39436423319677,36.2,139.0,12,183.8146724662094,0
,1,4,48780.0,0.625000011792075,11889854.826642267,15.273863942161626,3.5,41614491.89324793,853.1056148677313,35.8,136.7,12,183.23946611880635,1
,1,5,72745.0,0.624999943297908,11171895.566226792,16.20007135434888,4.0,44687582.26490717,614.3045194158659,34.5,134.4,12,183.5553370705314,2
,1,6,16424.0,0.6250000230689753,11938249.607130943,15.676216984562927,3.5,41783873.6249583,2544.0741369312163,34.1,131.9,12,183.48435872681142,0
,1,7,19867.0,0.6250000215828757,11889854.826642267,15.972647232411088,4.0,47559419.30656907,2393.8903360632744,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,304677.0,5.000000000000001,35000000.0,15.85181107329137,4.0,357473552.3510837,1173.286964067139
,2,0,3313.0,0.6250000588328432,11945970.429780632,16.13826229440842,4.0,47783881.71912253,14423.14570453442,43.7,143.6,12,183.1924253684002,0
