iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
,0,0,0,0.111111111,11878917.9,8.023862786,1.98,23520257.44,0,29.98100003,129.601,19.9900002,109.9157718,1
,0,1,91,0.111111111,11309642.15,8.729591983,1.98,22393091.45,246077.928,30.02099967,131.201,19.99000006,111.2482745,2
,0,2,23217,0.111111111,11811439.95,7.679303105,1.98,23386651.11,1007.307193,31.58100027,130.401,19.99000008,110.1939327,0
,0,3,847,0.111111111,11878917.9,7.178237968,1.67,19837792.89,23421.24308,31.62099992,132.001,19.99000011,110.9601264,1
,0,4,0,0.111111111,11811439.95,8.505795134,1.98,23386651.11,0,31.62099895,140.001,19.99000032,111.1421915,0
,0,5,0,0.111111111,11811439.95,8.031383453,1.98,23386651.11,0,33.20099997,128.001,19.99000009,109.7342405,0
,0,6,25038,0.111111111,11878917.9,7.539427252,1.98,23520257.44,939.3824364,33.20100003,129.601,19.99000451,109.3018266,1
,0,7,26640,0.111111111,11309642.15,8.230172335,1.98,22393091.45,840.5815108,33.18100006,131.201,19.99000007,109.7507027,2
,0,8,6604,0.111111111,11811439.95,7.177522646,1.67,19725104.72,2986.842024,33.22099993,132.801,19.9900004,111.4687693,0
,0,9,868,0.111111111,11878917.9,6.91423915,1.67,19837792.89,22854.60011,33.22099985,134.401,20.00999966,111.6460513,1
,0,10,1198,0.111111111,11309642.15,7.562356713,1.98,22393091.45,18692.06298,33.18100021,136.001,19.99000004,109.2757805,2
,0,11,117,0.111111111,11878917.9,7.774409077,1.98,23520257.44,201027.8414,33.20099994,139.201,19.99000008,109.5383347,1
,0,12,0,0.111111111,11309642.15,8.049028369,1.98,22393091.45,0,33.22099993,140.801,19.9900002,110.6602041,2
,0,13,0,0.111111111,11811439.95,7.323691164,1.67,19725104.72,0,34.80100006,130.401,20.00999961,109.1315947,0
,0,14,4827,0.111111111,11878917.9,7.07219361,1.67,19837792.89,4109.756141,34.80100008,132.001,19.99000011,109.7219689,1
,0,15,45999,0.111111111,11309642.15,7.558688114,1.98,22393091.45,486.8169188,34.78100007,133.601,19.99000014,110.2277843,2
,0,16,286636,0.111111111,11811439.95,7.232071497,1.67,19725104.72,68.81586655,34.82099986,135.201,19.99000058,110.6656954,0
,0,17,150725,0.111111111,11878917.9,6.635649209,1.67,19837792.89,131.6158095,34.8209997,136.801,20.00999971,112.116574,1
,0,18,42266,0.111111111,11309642.15,6.897853011,1.67,18887102.38,446.8627829,34.80099958,138.401,19.9900002,109.0241584,2
,0,19,5444,0.111111111,11811439.95,7.600444776,1.98,23386651.11,4295.858029,34.801,140.001,19.99000017,109.8390685,0
,0,20,319,0.111111111,11811439.95,7.465985422,1.98,23386651.11,73312.38592,36.38100068,132.801,19.99000013,111.1071291,0
,0,21,0,0.111111111,11878917.9,6.838700583,1.67,19837792.89,0,36.40100007,134.401,19.99000028,109.8443833,1
,0,22,16337,0.111111111,11309642.15,7.200534739,1.67,18887102.38,1156.093676,36.38100007,136.001,19.99000036,110.4394077,2
,0,23,26610,0.111111111,11811439.95,7.346880235,1.67,19725104.72,741.2666187,36.40100013,137.601,19.99000003,109.9779781,0
,0,24,89871,0.111111111,11878917.9,6.706020718,1.67,19837792.89,220.7363097,36.40099992,139.201,19.99000089,109.8145685,1
,0,25,24112,0.111111111,11309642.15,7.239815048,1.67,18887102.38,783.3071659,36.42099995,140.801,19.99000013,111.5322127,2
,0,26,0,0.111111111,11878917.9,6.9087958,1.67,19837792.89,0,38.00100009,136.801,19.99000007,109.5987388,1
,0,27,15496,0.111111111,11309642.15,7.092114061,1.67,18887102.38,1218.837273,37.9810001,138.401,19.99000009,109.8436445,2
,0,28,26042,0.111111111,11811439.95,7.174045788,1.67,19725104.72,757.4343262,38.0209924,140.001,20.00999987,111.8405875,0
,0,29,3397,0.111111111,11878917.9,7.32448057,1.67,19837792.89,5839.797731,38.02099995,141.601,19.99000134,109.2904054,1
,0,30,0,0.111111111,11878917.9,6.692957237,1.67,19837792.89,0,39.58100012,139.201,19.99000011,109.8560314,1
,0,31,17374,0.111111111,11309642.15,7.230549168,1.67,18887102.38,1087.090042,39.60100086,140.801,19.99000014,109.4602871,2
,0,32,1993,0.111111111,11811439.95,7.521173713,1.98,23386651.11,11734.39594,39.60099999,142.401,20.00999972,109.7946232,0
,0,33,2050,0.111111111,11811439.95,7.587430796,1.98,23386651.11,11408.12249,41.20100004,140.001,19.99000012,109.3424507,0
,0,34,1752,0.111111111,11878917.9,6.786898725,1.67,19837792.89,11322.94115,41.22099987,141.601,19.99000009,110.0863726,1
,0,35,0,0.111111111,11309642.15,7.293186254,1.67,18887102.38,0,41.22099994,143.201,20.00999977,111.5436958,2
,0,36,0,0.111111111,11878917.9,7.422800294,1.98,23520257.44,0,42.80100003,139.201,19.99000085,108.1437188,1
,0,37,40429,0.111111111,11309642.15,7.702582141,1.98,22393091.45,553.8868498,42.78100003,140.801,19.99000018,110.2678599,2
,0,38,2127,0.111111111,11811439.95,7.729823966,1.98,23386651.11,10995.13451,42.80099958,142.401,19.99000012,109.6445079,0
,0,39,4002,0.111111111,11878917.9,7.461557196,1.98,23520257.44,5877.125797,42.80099998,144.001,19.99000009,109.021611,1
,0,40,502,0.111111111,11309642.15,8.140613422,1.98,22393091.45,44607.75189,42.82099997,145.601,20.00996197,110.3942831,2
,0,41,747,0.111111111,11878917.9,7.576481629,1.98,23520257.44,31486.28841,44.40100015,141.601,19.99000006,109.5104989,1
,0,42,1507,0.111111111,11309642.15,7.879256056,1.98,22393091.45,14859.38384,44.4209998,143.201,19.99000038,111.5506541,2
,0,43,865,0.111111111,11811439.95,8.522510965,1.98,23386651.11,27036.59088,44.42099993,144.801,20.00999937,109.5986235,0
,0,44,0,0.111111111,11878917.9,8.610988971,1.98,23520257.44,0,44.40099999,146.401,19.99000008,107.2364328,1
