iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
,0,0,388,0.025125628,11666666.67,2.703847203,1.2,14000000,36082.47423,30.6,130.7,50,42.69273646,0
,0,1,190,0.025125628,11666666.67,2.510841217,1,11666666.67,61403.50877,30.6,131.3,50,43.73718057,1
,0,2,5551,0.025125628,11666666.67,2.404834067,1,11666666.67,2101.723413,31.2,130.4,50,43.58892122,1
,0,3,3273,0.025125628,11666666.67,2.522087259,1,11666666.67,3564.517772,31.2,131,50,44.99543833,2
,0,4,6196,0.025125628,11666666.67,2.129672207,1,11666666.67,1882.935227,31.8,130.1,50,44.01535592,2
,0,5,10384,0.025125628,11666666.67,2.329698559,1,11666666.67,1123.523369,31.8,130.7,50,44.07238815,0
,0,6,7550,0.025125628,11666666.67,2.03947971,1,11666666.67,1545.253863,31.8,131.3,50,43.62892011,1
,0,7,287,0.025125628,11666666.67,2.509905435,1,11666666.67,40650.4065,32.4,128.6,50,44.3447093,1
,0,8,4732,0.025125628,11666666.67,2.18183918,1,11666666.67,2465.483235,32.4,129.8,50,42.92576808,0
,0,9,8143,0.025125628,11666666.67,2.071270215,1,11666666.67,1432.723403,32.4,130.4,50,44.25166707,1
,0,10,8246,0.025125628,11666666.67,2.093154489,1,11666666.67,1414.827391,32.4,131,50,44.90962247,2
,0,11,5649,0.025125628,11666666.67,2.11077904,1,11666666.67,2065.262288,32.4,131.6,50,43.55240955,0
,0,12,207,0.025125628,11666666.67,2.432736516,1,11666666.67,56360.70853,32.4,132.8,50,43.52911916,2
,0,13,1,0.025125628,11666666.67,2.732616511,1.2,14000000,14000000,32.4,139.4,50,42.83117538,1
,0,14,1,0.025125628,11666666.67,2.930268793,1.2,14000000,14000000,32.4,140,50,43.12824002,2
,0,15,445,0.025125628,11666666.67,2.380176145,1,11666666.67,26217.22846,33,128.9,50,42.99556669,0
,0,16,6903,0.025125628,11666666.67,2.163370089,1,11666666.67,1690.086436,33,129.5,50,44.64246098,1
,0,17,15392,0.025125628,11666666.67,2.120708923,1,11666666.67,757.969508,33,130.1,50,44.45175209,2
,0,18,16931,0.025125628,11666666.67,1.719152488,1,11666666.67,689.0713287,33,130.7,50,42.43165802,0
,0,19,11394,0.025125628,11666666.67,1.881319424,1,11666666.67,1023.930724,33,131.3,50,43.48237368,1
,0,20,5351,0.025125628,11666666.67,1.975018853,1,11666666.67,2180.27783,33,131.9,50,44.33771813,2
,0,21,2116,0.025125628,11666666.67,2.023510906,1,11666666.67,5513.547574,33,132.5,50,43.76976286,0
,0,22,1430,0.025125628,11666666.67,2.237026691,1,11666666.67,8158.508159,33,133.1,50,42.97459231,1
,0,23,124,0.025125628,11666666.67,2.245563808,1,11666666.67,94086.02151,33,134.3,50,42.86180509,0
,0,24,118,0.025125628,11666666.67,2.821508486,1.2,14000000,118644.0678,33,139.7,50,43.26021768,0
,0,25,461,0.025125628,11666666.67,2.513863176,1,11666666.67,25307.30296,33.6,129.2,50,44.22458566,2
,0,26,14853,0.025125628,11666666.67,1.93133875,1,11666666.67,785.4754371,33.6,129.8,50,43.04874077,0
,0,27,31116,0.025125628,11666666.67,1.936476739,1,11666666.67,374.9410807,33.6,130.4,50,42.42556101,1
,0,28,31315,0.025125628,11666666.67,2.052240488,1,11666666.67,372.5584118,33.6,131,50,42.1606378,2
,0,29,8815,0.025125628,11666666.67,1.730736765,1,11666666.67,1323.501607,33.6,131.6,50,42.73871478,0
,0,30,4785,0.025125628,11666666.67,1.813413848,1,11666666.67,2438.174852,33.6,132.2,50,43.41297806,1
,0,31,5847,0.025125628,11666666.67,1.767518505,1,11666666.67,1995.325238,33.6,132.8,50,44.17951866,2
,0,32,6262,0.025125628,11666666.67,1.824526034,1,11666666.67,1863.089535,33.6,133.4,50,43.55413883,0
,0,33,5185,0.025125628,11666666.67,1.853037174,1,11666666.67,2250.08036,33.6,134,50,44.07821657,1
,0,34,3121,0.025125628,11666666.67,1.960863073,1,11666666.67,3738.118125,33.6,134.6,50,44.11158979,2
,0,35,1481,0.025125628,11666666.67,1.956430429,1,11666666.67,7877.560207,33.6,135.2,50,43.34748083,0
,0,36,1317,0.025125628,11666666.67,2.172570602,1,11666666.67,8858.516831,33.6,135.8,50,42.67515992,1
,0,37,672,0.025125628,11666666.67,2.349364912,1,11666666.67,17361.11111,33.6,136.4,50,42.0996552,2
,0,38,14,0.025125628,11666666.67,2.527619758,1,11666666.67,833333.3333,33.6,139.4,50,43.90046191,1
,0,39,238,0.025125628,11666666.67,2.538097914,1,11666666.67,49019.60784,34.2,128.9,50,43.52565799,0
,0,40,376,0.025125628,11666666.67,2.49381433,1,11666666.67,31028.36879,34.2,129.5,50,43.66082855,1
,0,41,10077,0.025125628,11666666.67,1.949717969,1,11666666.67,1157.751976,34.2,130.7,50,42.94603554,0
,0,42,10630,0.025125628,11666666.67,1.955621369,1,11666666.67,1097.522734,34.2,131.3,50,43.98446529,1
,0,43,11756,0.025125628,11666666.67,1.96455983,1,11666666.67,992.4010434,34.2,131.9,50,44.47806413,2
,0,44,15375,0.025125628,11666666.67,1.763400194,1,11666666.67,758.8075881,34.2,132.5,50,42.9176284,0
,0,45,13393,0.025125628,11666666.67,1.829008251,1,11666666.67,871.1018194,34.2,133.1,50,44.22703721,1
,0,46,18825,0.025125628,11666666.67,2.018963142,1,11666666.67,619.7432492,34.2,133.7,50,39.58895046,2
,0,47,10728,0.025125628,11666666.67,1.75958003,1,11666666.67,1087.496893,34.2,134.3,50,44.11745201,0
,0,48,15432,0.025125628,11666666.67,1.877146796,1,11666666.67,756.0048384,34.2,134.9,50,42.91601348,1
,0,49,46440,0.025125628,11666666.67,1.901233655,1,11666666.67,251.2202125,34.2,135.5,50,43.89377127,2
,0,50,7206,0.025125628,11666666.67,1.889818391,1,11666666.67,1619.021186,34.2,136.1,50,43.76663218,0
,0,51,2460,0.025125628,11666666.67,1.923340103,1,11666666.67,4742.547425,34.2,136.7,50,43.19548585,1
,0,52,201,0.025125628,11666666.67,2.288504142,1,11666666.67,58043.11774,34.2,139.1,50,45.16522709,2
,0,53,45,0.025125628,11666666.67,2.419752886,1,11666666.67,259259.2593,34.2,139.7,50,44.50462527,0
,0,54,1033,0.025125628,11666666.67,2.077054096,1,11666666.67,11293.9658,34.8,131.6,50,42.83296401,0
,0,55,7669,0.025125628,11666666.67,2.099882635,1,11666666.67,1521.276133,34.8,132.2,50,44.46815868,1
,0,56,9399,0.025125628,11666666.67,2.027362435,1,11666666.67,1241.266801,34.8,132.8,50,43.78413233,2
,0,57,13188,0.025125628,11666666.67,1.644610164,1,11666666.67,884.6426044,34.8,133.4,50,42.78150221,0
,0,58,15878,0.025125628,11666666.67,1.770007781,1,11666666.67,734.7692824,34.8,134,50,42.94515593,1
,0,59,24294,0.025125628,11666666.67,1.785426352,1,11666666.67,480.2283143,34.8,134.6,50,43.95974292,2
,0,60,105167,0.025125628,11666666.67,1.753673077,1,11666666.67,110.9346722,34.8,135.2,50,44.31697783,0
,0,61,99465,0.025125628,11666666.67,1.801583505,1,11666666.67,117.2941906,34.8,135.8,50,42.66834013,1
,0,62,27654,0.025125628,11666666.67,1.80401811,1,11666666.67,421.8798968,34.8,136.4,50,44.28351617,2
,0,63,50916,0.025125628,11666666.67,1.967937642,1,11666666.67,229.1355697,34.8,137,50,42.84092727,0
,0,64,26267,0.025125628,11666666.67,1.969871129,1,11666666.67,444.1568,34.8,137.6,50,43.86296596,1
,0,65,18737,0.025125628,11666666.67,1.989245859,1,11666666.67,622.6539289,34.8,138.2,50,44.50699748,2
,0,66,12855,0.025125628,11666666.67,1.970850493,1,11666666.67,907.5586672,34.8,138.8,50,43.44045152,0
,0,67,11013,0.025125628,11666666.67,2.061516634,1,11666666.67,1059.354097,34.8,139.4,50,42.3350013,1
,0,68,1634,0.025125628,11666666.67,2.027105647,1,11666666.67,7139.94288,34.8,140,50,44.42950941,2
,0,69,3197,0.025125628,11666666.67,2.044050838,1,11666666.67,3649.254509,35.4,132.5,50,43.51144011,0
,0,70,5268,0.025125628,11666666.67,2.216896282,1,11666666.67,2214.629208,35.4,133.1,50,42.86813397,1
,0,71,6949,0.025125628,11666666.67,1.880484199,1,11666666.67,1678.898642,35.4,133.7,50,42.36078336,2
,0,72,4696,0.025125628,11666666.67,1.785683356,1,11666666.67,2484.383873,35.4,134.3,50,42.91723018,0
,0,73,4550,0.025125628,11666666.67,1.917626557,1,11666666.67,2564.102564,35.4,134.9,50,43.57199707,1
,0,74,13916,0.025125628,11666666.67,1.708617971,1,11666666.67,838.3635144,35.4,135.5,50,43.53278302,2
,0,75,18634,0.025125628,11666666.67,1.600954331,1,11666666.67,626.0956674,35.4,136.1,50,44.03222508,0
,0,76,50543,0.025125628,11666666.67,1.622668513,1,11666666.67,230.8265569,35.4,136.7,50,44.06051756,1
,0,77,44812,0.025125628,11666666.67,1.667997939,1,11666666.67,260.3469309,35.4,137.3,50,42.93953552,2
,0,78,3453,0.025125628,11666666.67,1.729507555,1,11666666.67,3378.704508,35.4,137.9,50,43.76335054,0
,0,79,12809,0.025125628,11666666.67,1.751030192,1,11666666.67,910.8179145,35.4,138.5,50,43.07330137,1
,0,80,100155,0.025125628,11666666.67,1.699972858,1,11666666.67,116.4861132,35.4,139.1,50,42.48083093,2
,0,81,175392,0.025125628,11666666.67,1.954888506,1,11666666.67,66.51766709,35.4,139.7,50,42.74745027,0
,0,82,52576,0.025125628,11666666.67,2.035798841,1,11666666.67,221.9009941,35.4,140.3,50,43.39244722,1
,0,83,3485,0.025125628,11666666.67,2.131749627,1,11666666.67,3347.680536,35.4,140.9,50,44.13957725,2
,0,84,159,0.025125628,11666666.67,2.490804177,1,11666666.67,73375.26205,36,132.8,50,43.44088165,2
,0,85,427,0.025125628,11666666.67,2.172383332,1,11666666.67,27322.40437,36,133.4,50,43.49110021,0
,0,86,866,0.025125628,11666666.67,2.177862409,1,11666666.67,13471.90146,36,134.6,50,43.61787423,2
,0,87,425,0.025125628,11666666.67,1.992324608,1,11666666.67,27450.98039,36,135.2,50,42.92895955,0
,0,88,5063,0.025125628,11666666.67,2.043347816,1,11666666.67,2304.299164,36,135.8,50,44.20718653,1
,0,89,6950,0.025125628,11666666.67,2.00480041,1,11666666.67,1678.657074,36,136.4,50,39.55907325,2
,0,90,2271,0.025125628,11666666.67,1.749511656,1,11666666.67,5137.237634,36,137,50,44.58388528,0
,0,91,6854,0.025125628,11666666.67,1.73444664,1,11666666.67,1702.16905,36,137.6,50,43.25473838,1
,0,92,10390,0.025125628,11666666.67,1.547474326,1,11666666.67,1122.874559,36,138.2,50,44.21083088,2
,0,93,22970,0.025125628,11666666.67,1.61047536,1,11666666.67,507.9088666,36,138.8,50,44.13945734,0
,0,94,143966,0.025125628,11666666.67,1.608473077,1,11666666.67,81.03765241,36,139.4,50,43.05195931,1
,0,95,141276,0.025125628,11666666.67,1.783879098,1,11666666.67,82.58066952,36,140,50,43.03918065,2
,0,96,21074,0.025125628,11666666.67,2.234881868,1,11666666.67,553.6047578,36,140.6,50,43.35365005,0
,0,97,1701,0.025125628,11666666.67,2.282441042,1,11666666.67,6858.710562,36,141.2,50,43.91916761,1
,0,98,6040,0.025125628,11666666.67,1.949141067,1,11666666.67,1931.567329,36.6,136.1,50,43.08317472,0
,0,99,10955,0.025125628,11666666.67,1.928506783,1,11666666.67,1064.962726,36.6,136.7,50,42.50284519,1
,0,100,10073,0.025125628,11666666.67,1.632848052,1,11666666.67,1158.211721,36.6,137.3,50,44.57230306,2
,0,101,9658,0.025125628,11666666.67,1.812068425,1,11666666.67,1207.979568,36.6,137.9,50,44.75165523,0
,0,102,11982,0.025125628,11666666.67,1.732932192,1,11666666.67,973.6827463,36.6,138.5,50,43.08313994,1
,0,103,13963,0.025125628,11666666.67,1.561954742,1,11666666.67,835.5415503,36.6,139.1,50,44.2664498,2
,0,104,21379,0.025125628,11666666.67,1.690258822,1,11666666.67,545.7068463,36.6,139.7,50,44.98023871,0
,0,105,19375,0.025125628,11666666.67,1.81265986,1,11666666.67,602.1505376,36.6,140.3,50,43.87870592,1
,0,106,7502,0.025125628,11666666.67,2.109633067,1,11666666.67,1555.140851,36.6,140.9,50,44.73308007,2
,0,107,794,0.025125628,11666666.67,2.157657181,1,11666666.67,14693.53484,37.2,136.4,50,42.6690973,2
,0,108,5701,0.025125628,11666666.67,2.145906289,1,11666666.67,2046.424604,37.2,137,50,43.06800278,0
,0,109,2328,0.025125628,11666666.67,1.939595179,1,11666666.67,5011.454754,37.2,137.6,50,43.71026818,1
,0,110,2985,0.025125628,11666666.67,1.592157495,1,11666666.67,3908.431044,37.2,138.2,50,43.85697296,2
,0,111,5330,0.025125628,11666666.67,1.712829273,1,11666666.67,2188.868043,37.2,138.8,50,43.90670797,0
,0,112,3547,0.025125628,11666666.67,1.589244227,1,11666666.67,3289.164552,37.2,139.4,50,43.70549158,1
,0,113,7264,0.025125628,11666666.67,1.618507966,1,11666666.67,1606.093979,37.2,140,50,43.01017296,2
,0,114,7578,0.025125628,11666666.67,1.967978071,1,11666666.67,1539.544295,37.2,140.6,50,44.07821446,0
,0,115,2563,0.025125628,11666666.67,2.025685845,1,11666666.67,4551.957342,37.2,141.2,50,43.37303769,1
,0,116,296,0.025125628,11666666.67,2.085200901,1,11666666.67,39414.41441,37.8,137.3,50,43.23643427,2
,0,117,6631,0.025125628,11666666.67,2.02453295,1,11666666.67,1759.412859,37.8,138.5,50,44.21042443,1
,0,118,7621,0.025125628,11666666.67,1.944532033,1,11666666.67,1530.857718,37.8,139.1,50,39.61470813,2
,0,119,7283,0.025125628,11666666.67,1.832080057,1,11666666.67,1601.903977,37.8,139.7,50,44.92729195,0
,0,120,10889,0.025125628,11666666.67,1.792914361,1,11666666.67,1071.417639,37.8,140.3,50,43.57728092,1
,0,121,13063,0.025125628,11666666.67,1.853029857,1,11666666.67,893.1077598,37.8,140.9,50,44.31780897,2
,0,122,286,0.025125628,11666666.67,2.203221123,1,11666666.67,40792.54079,38.4,138.2,50,44.59760624,2
,0,123,3578,0.025125628,11666666.67,2.111401013,1,11666666.67,3260.667039,38.4,138.8,50,43.29971589,0
,0,124,1600,0.025125628,11666666.67,1.910522098,1,11666666.67,7291.666667,38.4,139.4,50,42.19057836,1
,0,125,6128,0.025125628,11666666.67,1.75937422,1,11666666.67,1903.829417,38.4,140,50,44.29191658,2
,0,126,15272,0.025125628,11666666.67,2.119631794,1,11666666.67,763.9252663,38.4,140.6,50,40.36897493,0
,0,127,13184,0.025125628,11666666.67,2.008401917,1,11666666.67,884.9110032,38.4,141.2,50,43.3509327,1
,0,128,1761,0.025125628,11666666.67,2.156205121,1,11666666.67,6625.023661,38.4,141.8,50,44.19188737,2
,0,129,1967,0.025125628,11666666.67,1.900303081,1,11666666.67,5931.198102,39,139.7,50,43.19673429,0
,0,130,3462,0.025125628,11666666.67,1.860215706,1,11666666.67,3369.921048,39,140.3,50,43.83512089,1
,0,131,5188,0.025125628,11666666.67,1.735612898,1,11666666.67,2248.779234,39,140.9,50,44.0427846,2
,0,132,3880,0.025125628,11666666.67,1.990488365,1,11666666.67,3006.872852,39,141.5,50,43.88118955,0
,0,133,887,0.025125628,11666666.67,2.112030015,1,11666666.67,13152.95002,39,142.1,50,43.65709333,1
,0,134,3516,0.025125628,11666666.67,2.086129463,1,11666666.67,3318.164581,39.6,140,50,42.9875242,2
,0,135,6366,0.025125628,11666666.67,1.81280436,1,11666666.67,1832.652634,39.6,140.6,50,43.10518364,0
,0,136,4005,0.025125628,11666666.67,1.881033728,1,11666666.67,2913.025385,39.6,141.2,50,44.25523712,1
,0,137,2679,0.025125628,11666666.67,2.279796635,1,11666666.67,4354.858778,39.6,141.8,50,39.59570415,2
,0,138,721,0.025125628,11666666.67,2.524722251,1,11666666.67,16181.22977,39.6,142.4,50,40.22959692,0
,0,139,1126,0.025125628,11666666.67,2.018801918,1,11666666.67,10361.16045,40.2,139.7,50,44.70703811,0
,0,140,4618,0.025125628,11666666.67,2.137721632,1,11666666.67,2526.346182,40.2,140.3,50,44.12535637,1
,0,141,4510,0.025125628,11666666.67,1.891601106,1,11666666.67,2586.84405,40.2,140.9,50,44.80347912,2
,0,142,3041,0.025125628,11666666.67,1.846693645,1,11666666.67,3836.457306,40.2,141.5,50,43.39403147,0
,0,143,570,0.025125628,11666666.67,2.147856253,1,11666666.67,20467.83626,40.2,142.1,50,42.04394709,1
,0,144,2149,0.025125628,11666666.67,2.080562703,1,11666666.67,5428.88165,40.8,140,50,43.18240646,2
,0,145,5315,0.025125628,11666666.67,1.841708249,1,11666666.67,2195.045469,40.8,140.6,50,42.035599,0
,0,146,5550,0.025125628,11666666.67,1.915403967,1,11666666.67,2102.102102,40.8,141.2,50,43.70154391,1
,0,147,2459,0.025125628,11666666.67,2.138548982,1,11666666.67,4744.476074,40.8,141.8,50,43.10048224,2
,0,148,91,0.025125628,11666666.67,2.26306033,1,11666666.67,128205.1282,41.4,139.7,50,40.22278689,0
,0,149,1502,0.025125628,11666666.67,2.022738034,1,11666666.67,7767.421216,41.4,140.3,50,43.81948921,1
,0,150,1840,0.025125628,11666666.67,1.885794842,1,11666666.67,6340.57971,41.4,140.9,50,44.28340988,2
,0,151,441,0.025125628,11666666.67,1.891347661,1,11666666.67,26455.02646,41.4,141.5,50,42.09267014,0
,0,152,13,0.025125628,11666666.67,2.311467515,1,11666666.67,897435.8974,42,139.4,50,42.11835382,1
