,num_list,iter,CNI,bps/Hz,bps,user,bps/man
0,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",0,10.07669858,2.52,1022859721,896049,1141.522084
1,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",3,10.49938148,2.52,969405284.4,1005306,964.2887682
2,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",2,10.40845953,2.52,998856272.7,999617,999.2389812
3,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",22,10.20413363,2.52,1018094746,1024049,994.1855775
4,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",0,13.62916379,3,934880335.3,791311,1181.43225
5,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",0,12.38288712,3,822471727.1,1122666,732.6058926
6,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",4,10.28873803,2.52,978819687.3,1150806,850.5514285
7,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",3,11.24828125,3,933703511.9,1144853,815.5662883
8,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",22,19.62231014,4.5,958979132.6,1122600,854.248292
9,"[[2, 4, 5, 8, 13, 16, 19, 20, 23, 28, 32, 33, 38, 43], [0, 3, 6, 9, 11, 14, 17, 21, 24, 26, 29, 30, 34, 36, 39, 41, 44], [1, 7, 10, 12, 15, 18, 22, 25, 27, 31, 35, 37, 40, 42]]",19,9.778107781,1.98,1079497324,990884,1089.428555
