,num_list,iter,CNI,bps/Hz,bps,user,bps/man
0,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",1,8.009470389,1.98,1284760234,2076192,618.8060806
1,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",85,4.46880053,1.2,1736017212,2021671,858.7041177
2,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",95,4.442894357,1.2,1806166002,2013610,896.9790587
3,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,7.336738873,1.67,1387759057,2045553,678.4273287
4,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,5.744921205,1.67,1358052046,1980768,685.6189349
5,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",73,4.376282399,1.2,1731117033,1960738,882.8905406
6,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",6,6.420807829,1.67,1459451531,1978465,737.6686124
7,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,8.843900831,1.98,1314092793,1969699,667.154115
8,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,6.476681252,1.67,1120486313,1959662,571.7752922
9,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",3,4.234953853,1.2,1443269663,1803774,800.1388548
