iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
,1,0,4520,0.142857143,11669660.9,9.189661433,1.98,23105928.59,5111.931103,34.001,136.001,80.00999997,28.48853847,2
,1,1,1128,0.142857143,11664861.3,9.400395754,1.98,23096425.38,20475.55442,34.00099999,136.401,80.00999992,25.70335367,0
,1,2,28,0.142857143,11665477.79,9.278496303,1.98,23097646.03,824915.9297,33.98100004,139.201,79.99000013,26.06364675,1
,1,3,27,0.142857143,11669660.9,9.087134656,1.98,23105928.59,855775.1328,34.00100002,139.601,80.00999994,26.86519531,2
,1,4,34369,0.142857143,11665477.79,10.27569783,2.52,29397004.04,855.3348669,34.42099999,136.201,80.00999964,16.35145183,1
,1,5,5285,0.142857143,11669660.9,8.263153189,1.98,23105928.59,4371.982703,34.40100006,136.601,79.99000006,29.79716598,2
,1,6,5816,0.142857143,11664861.3,7.828853445,1.98,23096425.38,3971.187308,34.38100001,137.001,79.99000004,30.3280835,0
,1,7,5171,0.142857143,11664861.3,7.609276479,1.98,23096425.38,4466.529759,34.38100001,138.201,80.00999987,28.18053179,0
,1,8,211,0.142857143,11669660.9,8.047896528,1.98,23105928.59,109506.7706,34.42099992,139.001,79.99000008,24.17577897,2
,1,9,177,0.142857143,11664861.3,8.414002076,1.98,23096425.38,130488.279,34.40100002,139.401,79.99000006,27.92312788,0
,1,10,27529,0.142857143,11665477.79,9.165233567,1.98,23097646.03,839.0296063,34.80100003,136.801,79.99,29.09344513,1
,1,11,24588,0.142857143,11669660.9,7.531259552,1.98,23105928.59,939.7237916,34.80100001,137.201,79.99000001,28.68841297,2
,1,12,10831,0.142857143,11664861.3,6.872367415,1.67,19480318.38,1798.570619,34.80100001,137.601,79.99000002,28.75629365,0
,1,13,8724,0.142857143,11665477.79,7.826585017,1.98,23097646.03,2647.598124,34.801,138.001,79.99000003,28.08030786,1
,1,14,6685,0.142857143,11669660.9,7.380708673,1.67,19488333.71,2915.233165,34.78100001,138.401,80.00999998,26.17740622,2
,1,15,5999,0.142857143,11664861.3,7.140616322,1.67,19480318.38,3247.26094,34.78100002,138.801,80.00999998,24.9091632,0
,1,16,2858,0.142857143,11665477.79,8.139182165,1.98,23097646.03,8081.751585,34.78100001,139.201,80.00999996,23.65869963,1
,1,17,46927,0.142857143,11669660.9,8.347513336,1.98,23105928.59,492.3802627,35.22099999,136.601,79.99000031,25.55023226,2
,1,18,32889,0.142857143,11664861.3,7.973129128,1.98,23096425.38,702.2538047,35.22099999,137.001,79.99000041,28.34942587,0
,1,19,23524,0.142857143,11665477.79,7.944707583,1.98,23097646.03,981.8757877,35.22099997,137.401,79.99000007,26.92322748,1
,1,20,8245,0.142857143,11669660.9,6.958250534,1.67,19488333.71,2363.654786,35.20100005,137.801,79.99000001,27.58905776,2
,1,21,5669,0.142857143,11664861.3,7.072984912,1.67,19480318.38,3436.288301,35.20100001,138.201,80.00999967,24.06619153,0
,1,22,8766,0.142857143,11665477.79,7.165474703,1.67,19481347.91,2222.375988,35.18100005,138.601,79.99000248,27.91218677,1
,1,23,19257,0.142857143,11669660.9,7.616677107,1.98,23105928.59,1199.871662,35.201,139.001,80.00999987,26.76426874,2
,1,24,84274,0.142857143,11664861.3,7.982524576,1.98,23096425.38,274.0634761,35.20099999,139.401,79.99000158,26.42981256,0
,1,25,22067,0.142857143,11669660.9,7.411049174,1.98,23105928.59,1047.080645,35.60099993,137.201,79.99000008,27.45490692,2
,1,26,3138,0.142857143,11664861.3,7.363712246,1.67,19480318.38,6207.877112,35.60099997,137.601,79.99000028,26.01794994,0
,1,27,3702,0.142857143,11665477.79,7.473535146,1.98,23097646.03,6239.234476,35.60099999,138.001,80.00999984,26.10557032,1
,1,28,4502,0.142857143,11669660.9,7.48444377,1.98,23105928.59,5132.369744,35.60100013,138.401,79.99000011,26.98487851,2
,1,29,22803,0.142857143,11664861.3,7.690992621,1.98,23096425.38,1012.867841,35.58100002,138.801,80.00999998,27.91324035,0
,1,30,171129,0.142857143,11665477.79,8.533220127,1.98,23097646.03,134.9721323,35.60100003,139.201,79.99000001,27.39810292,1
,1,31,305854,0.142857143,11669660.9,8.994458863,1.98,23105928.59,75.54561519,35.58100001,139.601,80.00999999,28.19535961,2
,1,32,7099,0.142857143,11669660.9,7.747153661,1.98,23105928.59,3254.814564,35.98100001,137.801,79.99000001,29.38402782,2
,1,33,10801,0.142857143,11664861.3,8.053939747,1.98,23096425.38,2138.35991,36.001,138.201,79.99000002,27.93537817,0
,1,34,19740,0.142857143,11665477.79,8.303505302,1.98,23097646.03,1170.093517,36.00099998,138.601,80.00999993,26.71281604,1
