latitude,longitude,beam_radius,color,i
22.50449047,122.0,45,1,0
22.859040751000002,122.6,45,2,0
23.213591032000004,123.2,45,3,0
23.568141313000005,123.8,45,1,0
23.922691594000007,124.4,45,2,0
24.27724187500001,125.0,45,3,0
24.631792155999996,125.6,45,1,0
24.986342436999998,126.2,45,2,0
25.340892718,126.8,45,3,0
25.695442999,127.4,45,1,0
26.049993280000002,128.0,45,2,0
26.404543561000004,128.6,45,3,0
26.75909384199999,129.2,45,1,0
27.113644123000007,129.8,45,2,0
27.46819440400001,130.4,45,3,0
27.822744684999996,131.0,45,1,0
28.177294965999998,131.6,45,2,0
28.531845247,132.2,45,3,0
28.886395528000016,132.8,45,1,0
29.240945809000003,133.4,45,2,0
29.595496090000005,134.0,45,3,0
29.950046370999992,134.6,45,1,0
30.304596651999994,135.2,45,2,0
30.65914693300001,135.8,45,3,0
31.01369721400001,136.4,45,1,0
31.368247495,137.0,45,2,0
31.722797776,137.6,45,3,0
32.077348057,138.2,45,1,0
32.431898338,138.8,45,2,0
32.786448619000005,139.4,45,3,0
33.14099890000001,140.0,45,1,0
33.495549180999994,140.6,45,2,0
33.850099461999996,141.2,45,3,0
34.20464974300001,141.8,45,1,0
34.559200024,142.4,45,2,0
34.913750305,143.0,45,3,0
35.268300586,143.6,45,1,0
35.62285086699999,144.2,45,2,0
35.977401148000006,144.8,45,3,0
36.33195142900001,145.4,45,1,0
36.68650171000001,146.0,45,2,0
25.649821116000012,122.0,45,1,1
26.034803842800002,122.6,45,2,1
26.419786569600006,123.2,45,3,1
26.80476929640001,123.8,45,1,1
27.189752023200015,124.4,45,2,1
27.574734750000005,125.0,45,3,1
27.95971747680001,125.6,45,1,1
28.344700203600013,126.2,45,2,1
28.729682930400003,126.8,45,3,1
29.11466565720002,127.4,45,1,1
29.49964838400001,128.0,45,2,1
29.8846311108,128.6,45,3,1
30.269613837600005,129.2,45,1,1
30.654596564400023,129.8,45,2,1
31.039579291200013,130.4,45,3,1
31.424562018000017,131.0,45,1,1
31.809544744800007,131.6,45,2,1
32.1945274716,132.2,45,3,1
32.579510198400015,132.8,45,1,1
32.96449292520002,133.4,45,2,1
33.34947565200001,134.0,45,3,1
33.734458378800014,134.6,45,1,1
34.1194411056,135.2,45,2,1
34.50442383240002,135.8,45,3,1
34.88940655920001,136.4,45,1,1
35.274389286000016,137.0,45,2,1
35.659372012800006,137.6,45,3,1
36.04435473960001,138.2,45,1,1
36.429337466400014,138.8,45,2,1
36.81432019320002,139.4,45,3,1
37.19930292000001,140.0,45,1,1
37.58428564680001,140.6,45,2,1
37.9692683736,141.2,45,3,1
38.35425110040002,141.8,45,1,1
38.73923382720001,142.4,45,2,1
39.124216554000014,143.0,45,3,1
39.509199280800004,143.6,45,1,1
39.89418200760001,144.2,45,2,1
40.27916473440001,144.8,45,3,1
40.66414746120002,145.4,45,1,1
