latitude,longitude,beam_radius,sat_radius,color,user
30.6,130.7,45,50,1,25704
30.6,131.3,45,50,2,13846
31.2,130.4,45,50,2,116824
31.2,131,45,50,3,187845
31.8,130.1,45,50,3,142146
31.8,130.7,45,50,1,1050818
31.8,131.3,45,50,2,664237
32.4,128.6,45,50,2,17196
32.4,129.8,45,50,1,181056
32.4,130.4,45,50,2,311615
32.4,131,45,50,3,206639
32.4,131.6,45,50,1,267544
32.4,132.8,45,50,3,6194
32.4,139.4,45,50,2,84
32.4,140,45,50,3,84
33,128.9,45,50,1,28235
33,129.5,45,50,2,414042
33,130.1,45,50,3,1130130
33,130.7,45,50,1,1606425
33,131.3,45,50,2,354624
33,131.9,45,50,3,294494
33,132.5,45,50,1,137071
33,133.1,45,50,2,65088
33,134.3,45,50,1,5871
33,139.7,45,50,1,7042
33.6,129.2,45,50,3,9788
33.6,129.8,45,50,1,204811
33.6,130.4,45,50,2,3444358
33.6,131,45,50,3,1140119
33.6,131.6,45,50,1,384724
33.6,132.2,45,50,2,108925
33.6,132.8,45,50,3,714704
33.6,133.4,45,50,1,472413
33.6,134,45,50,2,260122
33.6,134.6,45,50,3,66946
33.6,135.2,45,50,1,96657
33.6,135.8,45,50,2,108412
33.6,136.4,45,50,3,35225
33.6,139.4,45,50,2,162
34.2,128.9,45,50,1,14251
34.2,129.5,45,50,2,14251
34.2,130.7,45,50,1,605874
34.2,131.3,45,50,2,563805
34.2,131.9,45,50,3,576922
34.2,132.5,45,50,1,1777353
34.2,133.1,45,50,2,748912
34.2,133.7,45,50,3,1035059
34.2,134.3,45,50,1,719324
34.2,134.9,45,50,2,770632
34.2,135.5,45,50,3,1678070
34.2,136.1,45,50,1,168317
34.2,136.7,45,50,2,227782
34.2,139.1,45,50,3,5596
34.2,139.7,45,50,1,1298
34.8,131.6,45,50,1,26321
34.8,132.2,45,50,2,123130
34.8,132.8,45,50,3,190448
34.8,133.4,45,50,1,551451
34.8,134,45,50,2,1308992
34.8,134.6,45,50,3,1265486
34.8,135.2,45,50,1,6967589
34.8,135.8,45,50,2,8428685
34.8,136.4,45,50,3,1137237
34.8,137,45,50,1,3446706
34.8,137.6,45,50,2,1279716
34.8,138.2,45,50,3,1371532
34.8,138.8,45,50,1,895304
34.8,139.4,45,50,2,91719
34.8,140,45,50,3,82623
35.4,132.5,45,50,1,140497
35.4,133.1,45,50,2,468919
35.4,133.7,45,50,3,201895
35.4,134.3,45,50,1,296789
35.4,134.9,45,50,2,303960
35.4,135.5,45,50,3,227163
35.4,136.1,45,50,1,688362
35.4,136.7,45,50,2,3696303
35.4,137.3,45,50,3,2044614
35.4,137.9,45,50,1,244696
35.4,138.5,45,50,2,815824
35.4,139.1,45,50,3,3121964
35.4,139.7,45,50,1,15649392
35.4,140.3,45,50,2,1656379
35.4,140.9,45,50,3,58669
36,132.8,45,50,3,2844
36,133.4,45,50,1,16278
36,134.6,45,50,3,12014
36,135.2,45,50,1,26394
36,135.8,45,50,2,264921
36,136.4,45,50,3,385117
36,137,45,50,1,108445
36,137.6,45,50,2,338769
36,138.2,45,50,3,562560
36,138.8,45,50,1,664427
36,139.4,45,50,2,8802608
36,140,45,50,3,9112284
36,140.6,45,50,1,1089521
36,141.2,45,50,2,19477
36.6,136.1,45,50,1,181013
36.6,136.7,45,50,2,977327
36.6,137.3,45,50,3,768132
36.6,137.9,45,50,1,515169
36.6,138.5,45,50,2,489126
36.6,139.1,45,50,3,1166268
36.6,139.7,45,50,1,1331018
36.6,140.3,45,50,2,1022891
36.6,140.9,45,50,3,289967
37.2,136.4,45,50,3,9315
37.2,137,45,50,1,151720
37.2,137.6,45,50,2,90082
37.2,138.2,45,50,3,297218
37.2,138.8,45,50,1,367893
37.2,139.4,45,50,2,33685
37.2,140,45,50,3,498501
37.2,140.6,45,50,1,497042
37.2,141.2,45,50,2,174498
37.8,137.3,45,50,3,4310
37.8,138.5,45,50,2,119036
37.8,139.1,45,50,3,1205855
37.8,139.7,45,50,1,266847
37.8,140.3,45,50,2,530653
37.8,140.9,45,50,3,463257
38.4,138.2,45,50,3,25746
38.4,138.8,45,50,1,176
38.4,139.4,45,50,2,69670
38.4,140,45,50,3,375090
38.4,140.6,45,50,1,1143812
38.4,141.2,45,50,2,1006662
38.4,141.8,45,50,3,77366
39,139.7,45,50,1,143314
39,140.3,45,50,2,212124
39,140.9,45,50,3,255672
39,141.5,45,50,1,254391
39,142.1,45,50,2,48036
39.6,140,45,50,3,327893
39.6,140.6,45,50,1,304582
39.6,141.2,45,50,2,562171
39.6,141.8,45,50,3,72087
39.6,142.4,45,50,1,32344
40.2,139.7,45,50,1,51843
40.2,140.3,45,50,2,137282
40.2,140.9,45,50,3,102212
40.2,141.5,45,50,1,167726
40.2,142.1,45,50,2,25783
40.8,140,45,50,3,154913
40.8,140.6,45,50,1,387689
40.8,141.2,45,50,2,384680
40.8,141.8,45,50,3,123146
41.4,139.7,45,50,1,3130
41.4,140.3,45,50,2,13785
41.4,140.9,45,50,3,163673
41.4,141.5,45,50,1,32962
42,139.4,45,50,2,1205
42,140,45,50,3,17998
42,140.6,45,50,1,214308
42,141.2,45,50,2,56914
42,142.4,45,50,1,14979
42,143,45,50,2,14396
42,143.6,45,50,3,4316
42.6,139.7,45,50,1,6913
42.6,140.3,45,50,2,29717
42.6,140.9,45,50,3,135109
42.6,141.5,45,50,1,213275
42.6,142.1,45,50,2,152415
42.6,142.7,45,50,3,12424
42.6,143.3,45,50,1,104298
42.6,143.9,45,50,2,6114
42.6,144.5,45,50,3,61394
43.2,140,45,50,3,1220
43.2,140.6,45,50,1,102286
43.2,141.2,45,50,2,1176857
43.2,141.8,45,50,3,1349823
43.2,142.4,45,50,1,58175
43.2,143,45,50,2,106872
43.2,143.6,45,50,3,103869
43.2,144.2,45,50,1,72251
43.2,144.8,45,50,2,98947
43.2,145.4,45,50,3,22262
43.2,146,45,50,1,12318
43.8,141.5,45,50,1,36310
43.8,142.1,45,50,2,264736
43.8,142.7,45,50,3,195565
43.8,143.3,45,50,1,16025
43.8,143.9,45,50,2,156031
43.8,144.5,45,50,3,41434
43.8,145.1,45,50,1,28900
44.4,141.2,45,50,2,4742
44.4,141.8,45,50,3,9732
44.4,142.4,45,50,1,38053
44.4,143,45,50,2,34772
44.4,143.6,45,50,3,25408
44.4,144.2,45,50,1,11920
45,140.9,45,50,3,3076
45,141.5,45,50,1,7309
45,142.1,45,50,2,14564
45,142.7,45,50,3,6325
45.6,141.2,45,50,2,18855
45.6,141.8,45,50,3,17652
45.6,142.4,45,50,1,870
