latitude,longitude,beam_radius,color,sat_radius
22.90449047,122,120,1,20
23.84995789,123.6,120,2,20
24.7954253,125.2,120,3,20
25.74089272,126.8,120,1,20
26.68636013,128.4,120,2,20
27.63182755,130,120,3,20
28.57729497,131.6,120,1,20
29.52276238,133.2,120,2,20
30.4682298,134.8,120,3,20
31.41369721,136.4,120,1,20
32.35916463,138,120,2,20
33.30463205,139.6,120,3,20
34.25009946,141.2,120,1,20
35.19556688,142.8,120,2,20
36.14103429,144.4,120,3,20
37.08650171,146,120,1,20
26.04982112,122,120,3,20
27.07644172,123.6,120,1,20
28.10306233,125.2,120,2,20
29.12968293,126.8,120,3,20
30.15630354,128.4,120,1,20
31.18292414,130,120,2,20
32.20954474,131.6,120,3,20
33.23616535,133.2,120,1,20
34.26278595,134.8,120,2,20
35.28940656,136.4,120,3,20
36.31602716,138,120,1,20
37.34264777,139.6,120,2,20
38.36926837,141.2,120,3,20
39.39588898,142.8,120,1,20
40.42250958,144.4,120,2,20
41.44913019,146,120,3,20
31.03061332,122,120,2,20
31.51265415,123.6,120,3,20
31.99469498,125.2,120,1,20
32.47673581,126.8,120,2,20
32.95877664,128.4,120,3,20
33.44081747,130,120,1,20
33.9228583,131.6,120,2,20
34.40489913,133.2,120,3,20
34.88693996,134.8,120,1,20
