latitude,longitude,beam_radius,color,i,sat_radius,
22.40449047,122,61,1,0,40,0
22.88510307,122.8133333,61,2,0,40,1
23.36571568,123.6266667,61,3,0,40,2
23.84632828,124.44,61,1,0,40,3
24.32694088,125.2533333,61,2,0,40,4
24.80755349,126.0666667,61,3,0,40,5
25.28816609,126.88,61,1,0,40,6
25.76877869,127.6933333,61,2,0,40,7
26.2493913,128.5066667,61,3,0,40,8
26.7300039,129.32,61,1,0,40,9
27.2106165,130.1333333,61,2,0,40,10
27.6912291,130.9466667,61,3,0,40,11
28.17184171,131.76,61,1,0,40,12
28.65245431,132.5733333,61,2,0,40,13
29.13306691,133.3866667,61,3,0,40,14
29.61367952,134.2,61,1,0,40,15
30.09429212,135.0133333,61,2,0,40,16
30.57490472,135.8266667,61,3,0,40,17
31.05551733,136.64,61,1,0,40,18
31.53612993,137.4533333,61,2,0,40,19
32.01674253,138.2666667,61,3,0,40,20
32.49735514,139.08,61,1,0,40,21
32.97796774,139.8933333,61,2,0,40,22
33.45858034,140.7066667,61,3,0,40,23
33.93919295,141.52,61,1,0,40,24
34.41980555,142.3333333,61,2,0,40,25
34.90041815,143.1466667,61,3,0,40,26
35.38103075,143.96,61,1,0,40,27
35.86164336,144.7733333,61,2,0,40,28
36.34225596,145.5866667,61,3,0,40,29
36.82286856,146.4,61,1,0,40,30
25.54982112,122,61,1,1,40,31
26.07168659,122.8133333,61,2,1,40,32
26.59355206,123.6266667,61,3,1,40,33
27.11541754,124.44,61,1,1,40,34
27.63728301,125.2533333,61,2,1,40,35
28.15914849,126.0666667,61,3,1,40,36
28.68101396,126.88,61,1,1,40,37
29.20287943,127.6933333,61,2,1,40,38
29.72474491,128.5066667,61,3,1,40,39
30.24661038,129.32,61,1,1,40,40
30.76847586,130.1333333,61,2,1,40,41
31.29034133,130.9466667,61,3,1,40,42
31.81220681,131.76,61,1,1,40,43
32.33407228,132.5733333,61,2,1,40,44
32.85593775,133.3866667,61,3,1,40,45
33.37780323,134.2,61,1,1,40,46
33.8996687,135.0133333,61,2,1,40,47
34.42153418,135.8266667,61,3,1,40,48
34.94339965,136.64,61,1,1,40,49
35.46526512,137.4533333,61,2,1,40,50
35.9871306,138.2666667,61,3,1,40,51
36.50899607,139.08,61,1,1,40,52
37.03086155,139.8933333,61,2,1,40,53
37.55272702,140.7066667,61,3,1,40,54
38.07459249,141.52,61,1,1,40,55
38.59645797,142.3333333,61,2,1,40,56
39.11832344,143.1466667,61,3,1,40,57
39.64018892,143.96,61,1,1,40,58
40.16205439,144.7733333,61,2,1,40,59
40.68391987,145.5866667,61,3,1,40,60
41.20578534,146.4,61,1,1,40,61
30.53061332,122,61,2,2,40,62
30.77565074,122.8133333,61,3,2,40,63
31.02068816,123.6266667,61,1,2,40,64
31.26572558,124.44,61,2,2,40,65
31.51076301,125.2533333,61,3,2,40,66
31.75580043,126.0666667,61,1,2,40,67
32.00083785,126.88,61,2,2,40,68
32.24587527,127.6933333,61,3,2,40,69
32.49091269,128.5066667,61,1,2,40,70
32.73595012,129.32,61,2,2,40,71
32.98098754,130.1333333,61,3,2,40,72
33.22602496,130.9466667,61,1,2,40,73
33.47106238,131.76,61,2,2,40,74
33.71609981,132.5733333,61,3,2,40,75
23.40449047,122,61,3,3,40,76
23.88510307,122.8133333,61,1,3,40,77
24.36571568,123.6266667,61,2,3,40,78
24.84632828,124.44,61,3,3,40,79
25.32694088,125.2533333,61,1,3,40,80
25.80755349,126.0666667,61,2,3,40,81
26.28816609,126.88,61,3,3,40,82
26.76877869,127.6933333,61,1,3,40,83
27.2493913,128.5066667,61,2,3,40,84
27.7300039,129.32,61,3,3,40,85
28.2106165,130.1333333,61,1,3,40,86
28.6912291,130.9466667,61,2,3,40,87
29.17184171,131.76,61,3,3,40,88
29.65245431,132.5733333,61,1,3,40,89
30.13306691,133.3866667,61,2,3,40,90
30.61367952,134.2,61,3,3,40,91
31.09429212,135.0133333,61,1,3,40,92
31.57490472,135.8266667,61,2,3,40,93
32.05551733,136.64,61,3,3,40,94
32.53612993,137.4533333,61,1,3,40,95
33.01674253,138.2666667,61,2,3,40,96
33.49735514,139.08,61,3,3,40,97
33.97796774,139.8933333,61,1,3,40,98
34.45858034,140.7066667,61,2,3,40,99
34.93919295,141.52,61,3,3,40,100
35.41980555,142.3333333,61,1,3,40,101
35.90041815,143.1466667,61,2,3,40,102
36.38103075,143.96,61,3,3,40,103
36.86164336,144.7733333,61,1,3,40,104
37.34225596,145.5866667,61,2,3,40,105
37.82286856,146.4,61,3,3,40,106
26.54982112,122,61,3,4,40,107
27.07168659,122.8133333,61,1,4,40,108
27.59355206,123.6266667,61,2,4,40,109
28.11541754,124.44,61,3,4,40,110
28.63728301,125.2533333,61,1,4,40,111
29.15914849,126.0666667,61,2,4,40,112
29.68101396,126.88,61,3,4,40,113
30.20287943,127.6933333,61,1,4,40,114
30.72474491,128.5066667,61,2,4,40,115
31.24661038,129.32,61,3,4,40,116
31.76847586,130.1333333,61,1,4,40,117
32.29034133,130.9466667,61,2,4,40,118
32.81220681,131.76,61,3,4,40,119
33.33407228,132.5733333,61,1,4,40,120
33.85593775,133.3866667,61,2,4,40,121
34.37780323,134.2,61,3,4,40,122
34.8996687,135.0133333,61,1,4,40,123
35.42153418,135.8266667,61,2,4,40,124
35.94339965,136.64,61,3,4,40,125
36.46526512,137.4533333,61,1,4,40,126
36.9871306,138.2666667,61,2,4,40,127
37.50899607,139.08,61,3,4,40,128
38.03086155,139.8933333,61,1,4,40,129
38.55272702,140.7066667,61,2,4,40,130
39.07459249,141.52,61,3,4,40,131
39.59645797,142.3333333,61,1,4,40,132
40.11832344,143.1466667,61,2,4,40,133
40.64018892,143.96,61,3,4,40,134
41.16205439,144.7733333,61,1,4,40,135
41.68391987,145.5866667,61,2,4,40,136
42.20578534,146.4,61,3,4,40,137
31.53061332,122,61,1,5,40,138
31.77565074,122.8133333,61,2,5,40,139
32.02068816,123.6266667,61,3,5,40,140
32.26572558,124.44,61,1,5,40,141
32.51076301,125.2533333,61,2,5,40,142
32.75580043,126.0666667,61,3,5,40,143
33.00083785,126.88,61,1,5,40,144
33.24587527,127.6933333,61,2,5,40,145
33.49091269,128.5066667,61,3,5,40,146
33.73595012,129.32,61,1,5,40,147
33.98098754,130.1333333,61,2,5,40,148
34.22602496,130.9466667,61,3,5,40,149
34.47106238,131.76,61,1,5,40,150
34.71609981,132.5733333,61,2,5,40,151
34.96113723,133.3866667,61,1,5,40,152
35.20617465,134.2,61,2,5,40,153
35.45121207,135.0133333,61,3,5,40,154
