latitude,longitude,beam_radius,sat_radius,color
45.70616667,141.7511111,180,12,1
44.00072222,144.4592222,180,12,2
42.58544444,140.5700556,180,12,3
41.86138889,142.4926667,180,12,1
40.246,139.1198611,180,12,2
39.01063889,142.1630833,180,12,3
37.91819444,138.0322222,180,12,1
36.1645,140.7568333,180,12,2
35.31736111,138.3618056,180,12,3
33.45863889,135.5406667,180,12,1
36.27086111,135.6152222,180,12,2
35.20075,132.4182222,180,12,3
34.66936111,129.6496667,180,12,1
32.5005,132.4072222,180,12,2
31.40052778,129.6331667,180,12,3
29.77391667,131.5722778,180,12,1
39.13858333,135.7800278,180,12,3
37.90952778,132.8576667,180,12,1
33.11913889,139.6801667,180,12,1
32.22208333,137.1093889,180,12,2
30.89280556,134.5715278,180,12,3
