latitude,longitude,beam_radius,sat_radius,color,user
21.6,124.7,45,50,1,
22.2,123.8,45,50,1,
22.2,124.4,45,50,2,
22.2,125,45,50,3,
22.2,125.6,45,50,1,
22.8,123.5,45,50,2,
22.8,124.1,45,50,3,
22.8,124.7,45,50,1,
22.8,125.3,45,50,2,
22.8,125.9,45,50,3,
22.8,126.5,45,50,1,
23.4,123.2,45,50,3,
23.4,123.8,45,50,1,
23.4,124.4,45,50,2,
23.4,125,45,50,3,
23.4,125.6,45,50,1,
23.4,126.2,45,50,2,
23.4,126.8,45,50,3,
23.4,127.4,45,50,1,
24,122.9,45,50,1,
24,123.5,45,50,2,
24,124.1,45,50,3,
24,124.7,45,50,1,
24,125.3,45,50,2,
24,125.9,45,50,3,
24,126.5,45,50,1,
24,127.1,45,50,2,
24,127.7,45,50,3,
24,128.3,45,50,1,
24.6,122.6,45,50,2,
24.6,123.2,45,50,3,
24.6,123.8,45,50,1,
24.6,124.4,45,50,2,
24.6,125,45,50,3,
24.6,125.6,45,50,1,
24.6,126.2,45,50,2,
24.6,126.8,45,50,3,
24.6,127.4,45,50,1,
24.6,128,45,50,2,
24.6,128.6,45,50,3,
24.6,129.2,45,50,1,
25.2,122.9,45,50,1,
25.2,123.5,45,50,2,
25.2,124.1,45,50,3,
25.2,124.7,45,50,1,
25.2,125.3,45,50,2,
25.2,125.9,45,50,3,
25.2,126.5,45,50,1,
25.2,127.1,45,50,2,
25.2,127.7,45,50,3,
25.2,128.3,45,50,1,
25.2,128.9,45,50,2,
25.2,129.5,45,50,3,
25.2,130.1,45,50,1,
25.8,123.2,45,50,3,
25.8,123.8,45,50,1,
25.8,124.4,45,50,2,
25.8,125,45,50,3,
25.8,125.6,45,50,1,
25.8,126.2,45,50,2,
25.8,126.8,45,50,3,
25.8,127.4,45,50,1,
25.8,128,45,50,2,
25.8,128.6,45,50,3,
25.8,129.2,45,50,1,
25.8,129.8,45,50,2,
25.8,130.4,45,50,3,
25.8,131,45,50,1,
26.4,122.9,45,50,1,
26.4,123.5,45,50,2,
26.4,124.1,45,50,3,
26.4,124.7,45,50,1,
26.4,125.3,45,50,2,
26.4,125.9,45,50,3,
26.4,126.5,45,50,1,
26.4,127.1,45,50,2,
26.4,127.7,45,50,3,
26.4,128.3,45,50,1,
26.4,128.9,45,50,2,
26.4,129.5,45,50,3,
26.4,130.1,45,50,1,
26.4,130.7,45,50,2,
26.4,131.3,45,50,3,
26.4,131.9,45,50,1,
27,123.2,45,50,3,
27,123.8,45,50,1,
27,124.4,45,50,2,
27,125,45,50,3,
27,125.6,45,50,1,
27,126.2,45,50,2,
27,126.8,45,50,3,
27,127.4,45,50,1,
27,128,45,50,2,
27,128.6,45,50,3,
27,129.2,45,50,1,
27,129.8,45,50,2,
27,130.4,45,50,3,
27,131,45,50,1,
27,131.6,45,50,2,
27,132.2,45,50,3,
27,132.8,45,50,1,
27.6,124.1,45,50,3,
27.6,124.7,45,50,1,
27.6,125.3,45,50,2,
27.6,125.9,45,50,3,
27.6,126.5,45,50,1,
27.6,127.1,45,50,2,
27.6,127.7,45,50,3,
27.6,128.3,45,50,1,
27.6,128.9,45,50,2,
27.6,129.5,45,50,3,
27.6,130.1,45,50,1,
27.6,130.7,45,50,2,
27.6,131.3,45,50,3,
27.6,131.9,45,50,1,
27.6,132.5,45,50,2,
27.6,133.1,45,50,3,
27.6,133.7,45,50,1,
28.2,125,45,50,3,
28.2,125.6,45,50,1,
28.2,126.2,45,50,2,
28.2,126.8,45,50,3,
28.2,127.4,45,50,1,
28.2,128,45,50,2,
28.2,128.6,45,50,3,
28.2,129.2,45,50,1,
28.2,129.8,45,50,2,
28.2,130.4,45,50,3,
28.2,131,45,50,1,
28.2,131.6,45,50,2,
28.2,132.2,45,50,3,
28.2,132.8,45,50,1,
28.2,133.4,45,50,2,
28.2,134,45,50,3,
28.8,125.9,45,50,3,
28.8,126.5,45,50,1,
28.8,127.1,45,50,2,
28.8,127.7,45,50,3,
28.8,128.3,45,50,1,
28.8,128.9,45,50,2,
28.8,129.5,45,50,3,
28.8,130.1,45,50,1,
28.8,130.7,45,50,2,
28.8,131.3,45,50,3,
28.8,131.9,45,50,1,
28.8,132.5,45,50,2,
28.8,133.1,45,50,3,
28.8,133.7,45,50,1,
28.8,134.3,45,50,2,
29.4,126.2,45,50,2,
29.4,126.8,45,50,3,
29.4,127.4,45,50,1,
29.4,128,45,50,2,
29.4,128.6,45,50,3,
29.4,129.2,45,50,1,
29.4,129.8,45,50,2,
29.4,130.4,45,50,3,
29.4,131,45,50,1,
29.4,131.6,45,50,2,
29.4,132.2,45,50,3,
29.4,132.8,45,50,1,
29.4,133.4,45,50,2,
29.4,134,45,50,3,
29.4,134.6,45,50,1,
30,126.5,45,50,1,
30,127.1,45,50,2,
30,127.7,45,50,3,
30,128.3,45,50,1,
30,128.9,45,50,2,
30,129.5,45,50,3,
30,130.1,45,50,1,
30,130.7,45,50,2,
30,131.3,45,50,3,
30,131.9,45,50,1,
30,132.5,45,50,2,
30,133.1,45,50,3,
30,133.7,45,50,1,
30,134.3,45,50,2,
30,134.9,45,50,3,
30,136.7,45,50,3,
30,137.3,45,50,1,
30.6,126.2,45,50,2,
30.6,126.8,45,50,3,
30.6,127.4,45,50,1,
30.6,128,45,50,2,
30.6,128.6,45,50,3,
30.6,129.2,45,50,1,
30.6,129.8,45,50,2,
30.6,130.4,45,50,3,
30.6,131.6,45,50,2,
30.6,132.2,45,50,3,
30.6,132.8,45,50,1,
30.6,133.4,45,50,2,
30.6,134,45,50,3,
30.6,134.6,45,50,1,
30.6,135.2,45,50,2,
30.6,135.8,45,50,3,
30.6,136.4,45,50,1,
30.6,137,45,50,2,
30.6,137.6,45,50,3,
30.6,138.2,45,50,1,
