latitude,longitude,beam_radius,color,user
33.8,136.10000000000002,15,1,15965
34.0,136.2,15,3,16252
34.0,139.4,15,1,758
34.0,139.6,15,2,758
34.2,136.3,15,2,14604
34.2,139.10000000000002,15,1,1855
34.2,139.5,15,3,758
34.4,136.4,15,1,7815
34.4,136.6,15,2,46416
34.4,136.8,15,3,101236
34.4,139.2,15,3,1220
34.4,139.4,15,1,1220
34.6,136.70000000000002,15,1,40922
34.6,136.9,15,2,17071
34.6,137.3,15,1,59360
34.6,137.5,15,2,28942
34.6,137.70000000000002,15,3,395359
34.6,137.9,15,1,83336
34.6,138.10000000000002,15,2,31103
34.6,138.9,15,3,17968
34.8,136.8,15,3,62370
34.8,137.0,15,1,272616
34.8,137.2,15,2,206510
34.8,137.4,15,3,571366
34.8,137.6,15,1,43728
34.8,137.8,15,2,531356
34.8,138.0,15,3,191509
34.8,138.2,15,1,364532
34.8,138.4,15,2,60074
34.8,138.8,15,1,13128
34.8,139.0,15,2,22706
34.8,139.2,15,3,5744
35.0,136.70000000000002,15,1,167674
35.0,136.9,15,2,550745
35.0,137.10000000000002,15,3,878799
35.0,137.3,15,1,192327
35.0,137.5,15,2,17004
35.0,137.70000000000002,15,3,2942
35.0,138.10000000000002,15,2,6206
35.0,138.3,15,3,392310
35.0,138.5,15,1,346694
35.0,138.9,15,3,220487
35.0,139.10000000000002,15,1,96690
35.2,136.6,15,2,60886
35.2,136.8,15,3,1405874
35.2,137.0,15,1,1340616
35.2,137.2,15,2,241246
35.2,137.6,15,1,2218
35.2,137.8,15,2,2022
35.2,138.4,15,2,3578
35.2,138.6,15,3,254379
35.2,138.8,15,1,311010
35.2,139.0,15,2,193150
35.2,139.2,15,3,235023
35.2,139.4,15,1,96613
35.4,137.5,15,2,76570
35.4,137.70000000000002,15,3,7010
35.4,137.9,15,1,58672
35.4,138.3,15,3,5880
35.4,138.5,15,1,5880
35.4,138.70000000000002,15,2,38583
35.4,138.9,15,3,77330
35.4,139.10000000000002,15,1,181935
35.4,139.3,15,2,759201
35.4,139.5,15,3,285081
35.6,137.8,15,2,72283
35.6,138.0,15,3,24224
35.6,138.4,15,2,127442
35.6,138.6,15,3,380591
35.6,138.8,15,1,83099
35.6,139.0,15,2,39706
35.6,139.2,15,3,11334
35.8,137.9,15,1,90310
35.8,138.10000000000002,15,2,42613
35.8,138.3,15,3,29068
35.8,138.5,15,1,36560
35.8,138.70000000000002,15,2,25764
36.0,138.0,15,3,143055
36.0,138.2,15,1,73672
36.2,138.10000000000002,15,2,6385
