自治体,人口,経度,緯度
新島村,2441,139.256556,34.377138
神津島村,1855,139.134426,34.205371
三宅村,2273,139.479747,34.075779
平塚市,258422,139.349412,35.335502
小田原市,188856,139.152355,35.264694
茅ヶ崎市,242389,139.404702,35.333879
秦野市,162439,139.219946,35.3748
厚木市,223705,139.362442,35.443049
伊勢原市,101780,139.314906,35.402985
海老名市,136516,139.390803,35.446449
南足柄市,40841,139.099729,35.320633
寒川町,48348,139.384188,35.372963
大磯町,31634,139.311348,35.30694
二宮町,27564,139.255525,35.299494
中井町,9300,139.218766,35.330751
大井町,17129,139.156649,35.326619
松田町,10836,139.139337,35.348199
山北町,9761,139.083806,35.360631
開成町,18329,139.12341,35.336058
箱根町,11293,139.106886,35.232301
真鶴町,6722,139.137233,35.158399
湯河原町,23426,139.108336,35.147931
甲府市,189591,138.568339,35.662033
富士吉田市,46530,138.807857,35.487499
都留市,31016,138.90547,35.551565
山梨市,33435,138.686955,35.693429
大月市,22512,138.940041,35.610474
韮崎市,29067,138.446192,35.708804
南アルプス市,69459,138.465005,35.608361
北杜市,44053,138.423537,35.776501
甲斐市,75313,138.515796,35.660829
笛吹市,66947,138.63973,35.647296
上野原市,22669,139.108751,35.630301
甲州市,29237,138.729424,35.704286
中央市,31216,138.517269,35.599643
市川三郷町,14700,138.502406,35.56512
早川町,1098,138.363192,35.412658
身延町,10663,138.442488,35.467569
南部町,7156,138.486054,35.2423
富士川町,14219,138.461305,35.561163
昭和町,20909,138.535148,35.627928
道志村,1607,139.033429,35.528025
西桂町,4041,138.84688,35.524082
忍野村,9237,138.847853,35.460062
山中湖村,5179,138.861078,35.410644
鳴沢村,2824,138.706609,35.481318
富士河口湖町,26082,138.754926,35.497297
岡谷市,47790,138.049557,36.067003
飯田市,98164,137.821824,35.514703
諏訪市,48729,138.113984,36.039175
伊那市,66125,137.954083,35.827478
駒ヶ根市,32202,137.933993,35.728861
茅野市,56400,138.158896,35.995571
下諏訪町,19155,138.080068,36.069577
富士見町,14084,138.24074,35.914652
原村,7680,138.217471,35.964354
辰野町,18555,137.987428,35.982413
箕輪町,24989,137.981992,35.91502
飯島町,9004,137.919523,35.676622
南箕輪村,15797,137.975084,35.872853
中川村,4651,137.945961,35.634617
宮田村,8569,137.944209,35.768882
松川町,12530,137.909667,35.597231
高森町,12811,137.878519,35.551542
阿南町,4299,137.81609,35.32362
阿智村,6068,137.747444,35.443791
下條村,3545,137.785926,35.39733
天龍村,1178,137.854244,35.276307
泰阜村,1542,137.846157,35.377434
喬木村,5973,137.873751,35.513823
豊丘村,6426,137.895791,35.551497
大鹿村,1023,138.034044,35.578234
中津川市,76570,137.500616,35.487493
静岡市,693389,138.382388,34.975473
浜松市,790718,137.726117,34.710865
沼津市,189386,138.863337,35.095723
熱海市,34208,139.071546,35.095987
三島市,107783,138.918501,35.118483
富士宮市,128105,138.621656,35.221983
伊東市,65491,139.102048,34.96568
